,match,year,round,round_number,games_loser,games_winner,loser,sets_loser,sets_winner,surface,winner,tourney_name,tourney_order
1,1,1925,first round,1,5.0,18.0,Jean Augustin,0,3,clay,Cyril Eames,frenchopen,2
1098,3,1925,first round,1,6.0,18.0,Roger George,0,3,clay,Raimundo Morales,frenchopen,2
1512,4,1925,first round,1,25.0,27.0,A Persin,2,3,clay,Nicolae Misu,frenchopen,2
2258,6,1925,first round,1,8.0,18.0,Raymond Rodel,0,3,clay,Henri Cochet,frenchopen,2
2586,7,1925,first round,1,16.0,22.0,Georges Gouttenoire,1,3,clay,Jagat Mohan Lal,frenchopen,2
2916,8,1925,first round,1,21.0,26.0,Alain Bernard,1,3,clay,Jean Borotra,frenchopen,2
3247,9,1925,first round,1,11.0,22.0,Rene de Buzelet,1,3,clay,Hassan Ali Fyzee,frenchopen,2
3492,10,1925,first round,1,11.0,19.0,Pierre Passemard,0,3,clay,Leonce Aslangul,frenchopen,2
3737,11,1925,first round,1,15.0,22.0,Rodrigo de Castro Pereira,1,3,clay,Pierre Hirsch,frenchopen,2
4223,13,1925,first round,1,14.0,21.0,Jacques Quiry,1,3,clay,Paul Feret,frenchopen,2
4954,16,1925,first round,1,0.0,18.0,Shashidri Suvarna,0,3,clay,Rene Lacoste,frenchopen,2
5196,17,1925,first round,1,20.0,26.0,Jean de Buzelet,1,3,clay,C Vuarin,frenchopen,2
5505,19,1925,first round,1,5.0,18.0,Antonio Casanovas,0,3,clay,Antoine Gentien,frenchopen,2
5655,20,1925,first round,1,12.0,21.0,Maxime Guillemot,1,3,clay,Eduardo Flaquer,frenchopen,2
6103,23,1925,first round,1,19.0,25.0,Edouard Borotra,1,3,clay,F Restrepo,frenchopen,2
6252,24,1925,first round,1,8.0,19.0,Andre Piel,0,3,clay,Sydney Jacob,frenchopen,2
6400,25,1925,first round,1,8.0,18.0,Pan Papadopoulos,0,3,clay,Adrien Aron,frenchopen,2
6688,27,1925,first round,1,24.0,25.0,Robert Champin,2,3,clay,Gordon CroleRees,frenchopen,2
6833,28,1925,first round,1,12.0,21.0,Henri Reynaud,1,3,clay,Andre Gobert,frenchopen,2
3,1,1925,second round,2,12.0,19.0,C Eames,0,3,clay,Jean Washer,frenchopen,2
592,2,1925,second round,2,5.0,18.0,R Meunier,0,3,clay,R Morales,frenchopen,2
1100,3,1925,second round,2,11.0,18.0,R Danet,0,3,clay,N Misu,frenchopen,2
1514,4,1925,second round,2,15.0,22.0,JM Lal,1,3,clay,H Cochet,frenchopen,2
1933,5,1925,second round,2,15.0,19.0,HA Fyzee,1,3,clay,J Borotra,frenchopen,2
2259,6,1925,second round,2,10.0,18.0,P Hirsch,0,3,clay,L Aslangul,frenchopen,2
2587,7,1925,second round,2,14.0,21.0,C Aeschlimann,1,3,clay,P Feret,frenchopen,2
2917,8,1925,second round,2,12.0,22.0,J Arago,1,3,clay,L Olivares,frenchopen,2
3248,9,1925,second round,2,2.0,18.0,C Vuarin,0,3,clay,R Lacoste,frenchopen,2
3493,10,1925,second round,2,16.0,16.0,A Gentien,1,1,clay,AA Fyzee,frenchopen,2
3738,11,1925,second round,2,6.0,18.0,P Canivet,0,3,clay,E Flaquer,frenchopen,2
3982,12,1925,second round,2,8.0,18.0,Y Das de Kapurthala,0,3,clay,F Restrepo,frenchopen,2
4224,13,1925,second round,2,10.0,20.0,A Aron,1,3,clay,S Jacob,frenchopen,2
4468,14,1925,second round,2,13.0,21.0,G CroleRees,0,3,clay,J Brugnon,frenchopen,2
4711,15,1925,second round,2,13.0,23.0,PH Landry,1,3,clay,A Gobert,frenchopen,2
4955,16,1925,second round,2,6.0,18.0,Edward Kleinadel,0,3,clay,Pat Spence,frenchopen,2
5,1,1925,third round,3,10.0,19.0,R Morales,0,3,clay,J Washer,frenchopen,2
594,2,1925,third round,3,5.0,18.0,N Misu,0,3,clay,H Cochet,frenchopen,2
1101,3,1925,third round,3,19.0,26.0,L Aslangul,2,3,clay,J Borotra,frenchopen,2
1515,4,1925,third round,3,2.0,18.0,L Olivares,0,3,clay,P Feret,frenchopen,2
1934,5,1925,third round,3,12.0,21.0,AA Fyzee,0,3,clay,R Lacoste,frenchopen,2
2260,6,1925,third round,3,20.0,24.0,F Restrepo,1,3,clay,E Flaquer,frenchopen,2
2588,7,1925,third round,3,16.0,22.0,J Brugnon,1,3,clay,S Jacob,frenchopen,2
2918,8,1925,third round,3,18.0,21.0,P Spence,1,3,clay,A Gobert,frenchopen,2
2,1,1925,quarterfinals,5,16.0,22.0,Henri Cochet,0,3,clay,Jean Washer,frenchopen,2
591,2,1925,quarterfinals,5,14.0,19.0,Paul Feret,1,3,clay,Jean Borotra,frenchopen,2
1099,3,1925,quarterfinals,5,11.0,19.0,Eduardo Flaquer,0,3,clay,Rene Lacoste,frenchopen,2
1513,4,1925,quarterfinals,5,21.0,17.0,Andre Gobert,2,2,clay,Sydney Jacob,frenchopen,2
4,1,1925,semifinals,6,6.0,18.0,Jean Washer,0,3,clay,Jean Borotra,frenchopen,2
593,2,1925,semifinals,6,14.0,23.0,Sydney Jacob,1,3,clay,Rene Lacoste,frenchopen,2
0,1,1925,final,7,10.0,19.0,Jean Borotra,0,3,clay,Rene Lacoste,frenchopen,2
7,1,1926,first round,1,18.0,23.0,Greig,1,3,clay,Kozeluh,frenchopen,2
595,2,1926,first round,1,21.0,25.0,De BruynKops,2,3,clay,DAvalos,frenchopen,2
1102,3,1926,first round,1,15.0,21.0,Fisher,1,3,clay,Dungyersky,frenchopen,2
1516,4,1926,first round,1,12.0,24.0,Kleinadel,1,3,clay,Grahn,frenchopen,2
1935,5,1926,first round,1,21.0,27.0,Gentien,1,3,clay,Washer,frenchopen,2
2261,6,1926,first round,1,9.0,19.0,De La Borbolla,0,3,clay,Macenauer,frenchopen,2
2589,7,1926,first round,1,4.0,18.0,Cholmondeley,0,3,clay,Piel,frenchopen,2
2919,8,1926,first round,1,8.0,18.0,Worm,0,3,clay,Feret,frenchopen,2
10,1,1926,second round,2,9.0,18.0,Hirsch,0,3,clay,Richards,frenchopen,2
598,2,1926,second round,2,12.0,21.0,Halkema,1,3,clay,Balbi Di Robecco,frenchopen,2
1105,3,1926,second round,2,19.0,26.0,Rodzianko,2,3,clay,Gregory,frenchopen,2
1519,4,1926,second round,2,2.0,18.0,Rodel,0,3,clay,Obarrio,frenchopen,2
1937,5,1926,second round,2,6.0,18.0,Fyzee,0,3,clay,Landry,frenchopen,2
2263,6,1926,second round,2,7.0,18.0,Thalbitzer,0,3,clay,Brugnon,frenchopen,2
2591,7,1926,second round,2,17.0,25.0,Le Besnerais,1,3,clay,Bryan,frenchopen,2
2921,8,1926,second round,2,7.0,18.0,Aron,0,3,clay,Von Kehrling,frenchopen,2
3249,9,1926,second round,2,8.0,18.0,Boyd,0,3,clay,Cochet,frenchopen,2
3494,10,1926,second round,2,20.0,27.0,Danet,2,3,clay,Godfree,frenchopen,2
3739,11,1926,second round,2,12.0,20.0,Colombo,1,3,clay,Tejada,frenchopen,2
3983,12,1926,second round,2,17.0,22.0,De Castro Pereira,2,3,clay,Meyer,frenchopen,2
4225,13,1926,second round,2,9.0,18.0,Van Der Steur,0,3,clay,Samazeuilh,frenchopen,2
4469,14,1926,second round,2,11.0,18.0,Morrice,0,3,clay,Kozeluh,frenchopen,2
4712,15,1926,second round,2,10.0,19.0,DAvalos,0,3,clay,Dungyersky,frenchopen,2
4956,16,1926,second round,2,9.0,19.0,Grahn,0,3,clay,Washer,frenchopen,2
5197,17,1926,second round,2,18.0,26.0,Piel,1,3,clay,Macenauer,frenchopen,2
5351,18,1926,second round,2,15.0,22.0,Timmer,0,3,clay,Feret,frenchopen,2
5506,19,1926,second round,2,18.0,22.0,Augustin,2,3,clay,Fyzee,frenchopen,2
5656,20,1926,second round,2,18.0,23.0,Myers,1,3,clay,Borotra,frenchopen,2
5806,21,1926,second round,2,12.0,21.0,Tarruella,0,3,clay,Aslangul,frenchopen,2
6253,24,1926,second round,2,20.0,25.0,Cattaruza,2,3,clay,Kinsey,frenchopen,2
6544,26,1926,second round,2,19.0,22.0,Czetwertynski,1,3,clay,Flaquer,frenchopen,2
6689,27,1926,second round,2,22.0,27.0,Canivet,2,3,clay,Misu,frenchopen,2
6971,29,1926,second round,2,13.0,21.0,Bobb,1,3,clay,Robson,frenchopen,2
7111,30,1926,second round,2,6.0,18.0,Papadopoulos,0,3,clay,Turnbull,frenchopen,2
12,1,1926,third round,3,3.0,18.0,Balbi Di Robecco,0,3,clay,Richards,frenchopen,2
600,2,1926,third round,3,8.0,18.0,Obarrio,0,3,clay,Gregory,frenchopen,2
1106,3,1926,third round,3,25.0,25.0,Brugnon,2,3,clay,Landry,frenchopen,2
1938,5,1926,third round,3,6.0,18.0,Godfree,0,3,clay,Cochet,frenchopen,2
2264,6,1926,third round,3,18.0,23.0,Meyer,2,3,clay,Tejada,frenchopen,2
2592,7,1926,third round,3,16.0,22.0,Samazeuilh,1,3,clay,Kozeluh,frenchopen,2
2922,8,1926,third round,3,9.0,20.0,Dungyersky,0,3,clay,Washer,frenchopen,2
3250,9,1926,third round,3,14.0,19.0,Macenauer,1,3,clay,Feret,frenchopen,2
3495,10,1926,third round,3,19.0,26.0,Fyzee,2,3,clay,Borotra,frenchopen,2
3740,11,1926,third round,3,24.0,27.0,Restrepo,2,3,clay,Aslangul,frenchopen,2
3984,12,1926,third round,3,5.0,18.0,Salm,0,3,clay,Kinsey,frenchopen,2
4226,13,1926,third round,3,23.0,27.0,Flaquer,2,3,clay,Aeschliman,frenchopen,2
4470,14,1926,third round,3,23.0,27.0,Poulin,2,3,clay,Misu,frenchopen,2
4713,15,1926,third round,3,16.0,21.0,Turnbull,1,3,clay,Robson,frenchopen,2
4957,16,1926,third round,3,7.0,18.0,Sarkies,0,3,clay,Lacoste,frenchopen,2
8,1,1926,fourth round,4,10.0,19.0,Gregory,0,3,clay,Richards,frenchopen,2
596,2,1926,fourth round,4,21.0,23.0,Landry,1,3,clay,Von Kehrling,frenchopen,2
1103,3,1926,fourth round,4,14.0,21.0,Tejada,1,3,clay,Cochet,frenchopen,2
1517,4,1926,fourth round,4,19.0,25.0,Kozeluh,1,3,clay,Washer,frenchopen,2
1936,5,1926,fourth round,4,20.0,26.0,Feret,2,3,clay,Borotra,frenchopen,2
2262,6,1926,fourth round,4,7.0,18.0,Aslangul,0,3,clay,Kinsey,frenchopen,2
2590,7,1926,fourth round,4,14.0,20.0,Aeschliman,1,3,clay,Misu,frenchopen,2
2920,8,1926,fourth round,4,10.0,21.0,Robson,1,3,clay,Lacoste,frenchopen,2
9,1,1926,quarterfinals,5,7.0,18.0,Bela Von Kehrling,0,3,clay,Vinnie Richards,frenchopen,2
597,2,1926,quarterfinals,5,19.0,22.0,Jean Washer,1,3,clay,Henri Cochet,frenchopen,2
1104,3,1926,quarterfinals,5,22.0,24.0,Howard Kinsey,2,3,clay,Jean Borotra,frenchopen,2
1518,4,1926,quarterfinals,5,14.0,26.0,Nicolas Mishu,0,3,clay,Rene Lacoste,frenchopen,2
11,1,1926,semifinals,6,9.0,18.0,Vinnie Richards,0,3,clay,Henri Cochet,frenchopen,2
599,2,1926,semifinals,6,18.0,23.0,Jean Borotra,1,3,clay,Rene Lacoste,frenchopen,2
6,1,1926,final,7,9.0,18.0,Rene Lacoste,0,3,clay,Henri Cochet,frenchopen,2
14,1,1927,first round,1,17.0,23.0,Wahid,2,3,clay,Spence,frenchopen,2
601,2,1927,first round,1,11.0,10.0,Landry,1,1,clay,Van Alen,frenchopen,2
1107,3,1927,first round,1,11.0,18.0,Bernard,0,3,clay,Lester,frenchopen,2
1520,4,1927,first round,1,25.0,22.0,Barrelet De Ricou,2,3,clay,Wood,frenchopen,2
1939,5,1927,first round,1,18.0,21.0,Flaquer,1,3,clay,Condon,frenchopen,2
2265,6,1927,first round,1,10.0,18.0,Thurneyssen,0,3,clay,Wetzel,frenchopen,2
2923,8,1927,first round,1,17.0,22.0,Danon,1,3,clay,De Buzelet,frenchopen,2
3251,9,1927,first round,1,5.0,18.0,Laurent,0,3,clay,Prasada,frenchopen,2
3496,10,1927,first round,1,12.0,19.0,Fyzee,0,3,clay,Siguier,frenchopen,2
3741,11,1927,first round,1,20.0,20.0,Boussus,2,2,clay,Dungyersky,frenchopen,2
17,1,1927,second round,2,9.0,18.0,George,0,3,clay,Lacoste,frenchopen,2
604,2,1927,second round,2,17.0,26.0,Wuarin,2,3,clay,Kleinschroth,frenchopen,2
1110,3,1927,second round,2,1.0,18.0,Chiesa,0,3,clay,Czetwertynski,frenchopen,2
1523,4,1927,second round,2,0.0,6.0,De Klazkowski,0,1,clay,Piel,frenchopen,2
1941,5,1927,second round,2,6.0,18.0,Garriga Nogues,0,3,clay,Brugnon,frenchopen,2
