,match,year,round,round_number,games_loser,games_winner,loser,sets_loser,sets_winner,surface,winner,tourney_name,tourney_order
2594,7,1927,second round,2,15.0,27.0,Salm,1,4,clay,Mishu,frenchopen,2
2925,8,1927,second round,2,10.0,22.0,Micard,0,3,clay,Broquedis,frenchopen,2
3252,9,1927,second round,2,11.0,21.0,Thalbitzer,1,3,clay,Borotra,frenchopen,2
3497,10,1927,second round,2,2.0,18.0,Fisher,0,3,clay,Van Lennep,frenchopen,2
3742,11,1927,second round,2,11.0,20.0,TorralvaPonsa,0,3,clay,Du Plaix,frenchopen,2
3985,12,1927,second round,2,18.0,24.0,Laurent,1,3,clay,Gentien,frenchopen,2
4227,13,1927,second round,2,9.0,18.0,Persin,0,3,clay,Hunter,frenchopen,2
4471,14,1927,second round,2,26.0,29.0,Aron,2,3,clay,Spence,frenchopen,2
4714,15,1927,second round,2,26.0,29.0,Van Alen,2,3,clay,Lester,frenchopen,2
4958,16,1927,second round,2,8.0,18.0,Wood,0,3,clay,Condon,frenchopen,2
5198,17,1927,second round,2,22.0,24.0,Wetzel,2,3,clay,TorralvaPonsa,frenchopen,2
5352,18,1927,second round,2,13.0,20.0,De Buzelet,1,3,clay,Prasada,frenchopen,2
5507,19,1927,second round,2,5.0,18.0,Siguier,0,3,clay,Boussus,frenchopen,2
5657,20,1927,second round,2,7.0,19.0,Danet,0,3,clay,Raymond,frenchopen,2
5807,21,1927,second round,2,10.0,19.0,Augustin,0,3,clay,Aeschliman,frenchopen,2
6104,23,1927,second round,2,11.0,22.0,Biddle,0,3,clay,Rodel,frenchopen,2
6254,24,1927,second round,2,4.0,18.0,Andreu,0,3,clay,Tilden,frenchopen,2
6401,25,1927,second round,2,2.0,18.0,Carreras,0,3,clay,Froitzheim,frenchopen,2
6545,26,1927,second round,2,10.0,18.0,Le Blant,0,3,clay,Turnbull,frenchopen,2
6690,27,1927,second round,2,21.0,30.0,Guillemot,0,4,clay,Rodzianko,frenchopen,2
6834,28,1927,second round,2,3.0,16.0,Rebois,0,3,clay,Von Kehrling,frenchopen,2
6972,29,1927,second round,2,13.0,19.0,Hillyard,1,3,clay,Geraud,frenchopen,2
7112,30,1927,second round,2,14.0,20.0,Arago,1,3,clay,Timmer,frenchopen,2
7394,32,1927,second round,2,4.0,18.0,Sarkies,0,3,clay,Cochet,frenchopen,2
19,1,1927,third round,3,6.0,18.0,Kleinschroth,0,3,clay,Lacoste,frenchopen,2
606,2,1927,third round,3,19.0,20.0,Piel,2,3,clay,Czetwertynski,frenchopen,2
1111,3,1927,third round,3,9.0,22.0,Samazeuilh,1,3,clay,Brugnon,frenchopen,2
1524,4,1927,third round,3,16.0,23.0,Broquedis,1,3,clay,Mishu,frenchopen,2
1942,5,1927,third round,3,17.0,19.0,Van Lennep,1,2,clay,Borotra,frenchopen,2
2267,6,1927,third round,3,11.0,16.0,Du Plaix,1,2,clay,Gentien,frenchopen,2
2595,7,1927,third round,3,18.0,23.0,Hunter,2,3,clay,Spence,frenchopen,2
2926,8,1927,third round,3,26.0,28.0,Condon,2,3,clay,Lester,frenchopen,2
3253,9,1927,third round,3,11.0,23.0,TorralvaPonsa,1,3,clay,Prasada,frenchopen,2
3498,10,1927,third round,3,19.0,24.0,Boussus,2,3,clay,Raymond,frenchopen,2
3986,12,1927,third round,3,4.0,18.0,Rodel,0,3,clay,Tilden,frenchopen,2
4228,13,1927,third round,3,13.0,22.0,Turnbull,1,3,clay,Froitzheim,frenchopen,2
4472,14,1927,third round,3,9.0,18.0,Rodzianko,0,3,clay,Von Kehrling,frenchopen,2
4715,15,1927,third round,3,12.0,19.0,Geraud,0,3,clay,Timmer,frenchopen,2
15,1,1927,fourth round,4,12.0,20.0,Czetwertynski,0,3,clay,Lacoste,frenchopen,2
602,2,1927,fourth round,4,2.0,12.0,Mishu,0,2,clay,Brugnon,frenchopen,2
1108,3,1927,fourth round,4,17.0,27.0,Borotra,1,3,clay,Gentien,frenchopen,2
1521,4,1927,fourth round,4,16.0,20.0,Lester,1,3,clay,Spence,frenchopen,2
1940,5,1927,fourth round,4,5.0,18.0,Prasada,0,3,clay,Raymond,frenchopen,2
2266,6,1927,fourth round,4,7.0,19.0,Aeschliman,0,3,clay,Tilden,frenchopen,2
2593,7,1927,fourth round,4,13.0,22.0,Von Kehrling,0,3,clay,Froitzheim,frenchopen,2
2924,8,1927,fourth round,4,31.0,34.0,Timmer,2,3,clay,Cochet,frenchopen,2
16,1,1927,quarterfinals,5,18.0,23.0,Jacques Brugnon,1,3,clay,Rene Lacoste,frenchopen,2
603,2,1927,quarterfinals,5,15.0,21.0,Antoine Gentien,1,3,clay,Patrick Spence,frenchopen,2
1109,3,1927,quarterfinals,5,18.0,25.0,Louis Raymond,1,3,clay,Bill Tilden,frenchopen,2
1522,4,1927,quarterfinals,5,6.0,18.0,Otto Froitzheim,0,3,clay,Henri Cochet,frenchopen,2
18,1,1927,semifinals,6,6.0,18.0,Patrick Spence,0,3,clay,Rene Lacoste,frenchopen,2
605,2,1927,semifinals,6,12.0,21.0,Henri Cochet,0,3,clay,Bill Tilden,frenchopen,2
13,1,1927,final,7,29.0,32.0,Bill Tilden,2,3,clay,Rene Lacoste,frenchopen,2
21,1,1928,first round,1,9.0,21.0,Piel,0,3,clay,Samazeuilh,frenchopen,2
607,2,1928,first round,1,9.0,19.0,Stralem,0,3,clay,Zerlendis,frenchopen,2
1112,3,1928,first round,1,14.0,19.0,Guillemot,1,3,clay,Landry,frenchopen,2
1525,4,1928,first round,1,17.0,23.0,Morea,1,3,clay,Boussus,frenchopen,2
1943,5,1928,first round,1,13.0,22.0,Pope,1,3,clay,Laurent,frenchopen,2
2268,6,1928,first round,1,11.0,18.0,Galeppe,0,3,clay,Bobb,frenchopen,2
24,1,1928,second round,2,11.0,21.0,Persin,1,3,clay,Lacoste,frenchopen,2
1115,3,1928,second round,2,8.0,18.0,Zappa,0,3,clay,Matejka,frenchopen,2
1528,4,1928,second round,2,4.0,18.0,Bernard,0,3,clay,Van Lennep,frenchopen,2
1945,5,1928,second round,2,17.0,25.0,Geraud,1,3,clay,Crawford,frenchopen,2
2270,6,1928,second round,2,7.0,18.0,Rigault,0,3,clay,Holthouse,frenchopen,2
2597,7,1928,second round,2,13.0,22.0,Deniau,0,3,clay,Sharpe,frenchopen,2
2928,8,1928,second round,2,22.0,23.0,Walcott,2,3,clay,Gentien,frenchopen,2
3254,9,1928,second round,2,6.0,18.0,Augustin,0,3,clay,Sleem,frenchopen,2
3499,10,1928,second round,2,14.0,19.0,Thurneyssen,1,3,clay,Cattaruza,frenchopen,2
3743,11,1928,second round,2,21.0,27.0,Danet,2,3,clay,Borotra,frenchopen,2
3987,12,1928,second round,2,6.0,16.0,Aragon,0,3,clay,Brugnon,frenchopen,2
4229,13,1928,second round,2,10.0,20.0,Koopman,0,3,clay,Gregory,frenchopen,2
4473,14,1928,second round,2,5.0,18.0,Siguier,0,3,clay,Hawkes,frenchopen,2
4716,15,1928,second round,2,6.0,18.0,Samazeuilh,0,3,clay,Robson,frenchopen,2
4959,16,1928,second round,2,15.0,23.0,Zerlendis,1,3,clay,Landry,frenchopen,2
5199,17,1928,second round,2,6.0,18.0,Laurent,0,3,clay,Boussus,frenchopen,2
5353,18,1928,second round,2,21.0,21.0,Bobb,2,3,clay,Grandguillot,frenchopen,2
5508,19,1928,second round,2,13.0,20.0,Du Plaix,1,3,clay,TorralvaPonsa,frenchopen,2
5658,20,1928,second round,2,16.0,23.0,Ingayo,1,3,clay,Patterson,frenchopen,2
5959,22,1928,second round,2,11.0,20.0,Hopman,1,3,clay,Gaston,frenchopen,2
6105,23,1928,second round,2,2.0,18.0,Del Castillo,0,3,clay,Turnbull,frenchopen,2
6402,25,1928,second round,2,11.0,22.0,Balli,1,3,clay,De Buzelet,frenchopen,2
6835,28,1928,second round,2,9.0,18.0,Glasser,0,3,clay,Boyd,frenchopen,2
6973,29,1928,second round,2,3.0,18.0,Thalbitzer,0,3,clay,Cochet,frenchopen,2
7113,30,1928,second round,2,23.0,24.0,Barrelet De Ricou,1,3,clay,Wood,frenchopen,2
7253,31,1928,second round,2,8.0,18.0,Bonte,0,3,clay,Kingsley,frenchopen,2
7395,32,1928,second round,2,5.0,18.0,Combemale,0,3,clay,Hunter,frenchopen,2
26,1,1928,third round,3,2.0,18.0,Rodel,0,3,clay,Lacoste,frenchopen,2
611,2,1928,third round,3,14.0,17.0,Van Lennep,1,2,clay,Matejka,frenchopen,2
1116,3,1928,third round,3,8.0,18.0,Holthouse,0,3,clay,Crawford,frenchopen,2
1529,4,1928,third round,3,7.0,18.0,Sharpe,0,3,clay,Gentien,frenchopen,2
1946,5,1928,third round,3,9.0,20.0,Cattaruza,0,3,clay,Sleem,frenchopen,2
2271,6,1928,third round,3,7.0,18.0,Borotra,0,3,clay,Brugnon,frenchopen,2
2598,7,1928,third round,3,16.0,18.0,Gregory,1,3,clay,Hawkes,frenchopen,2
2929,8,1928,third round,3,13.0,22.0,Landry,1,3,clay,Robson,frenchopen,2
3255,9,1928,third round,3,5.0,18.0,Grandguillot,0,3,clay,Boussus,frenchopen,2
3500,10,1928,third round,3,24.0,23.0,TorralvaPonsa,2,3,clay,Patterson,frenchopen,2
3744,11,1928,third round,3,15.0,24.0,Aron,1,3,clay,Gaston,frenchopen,2
3988,12,1928,third round,3,18.0,21.0,Turnbull,1,3,clay,Borotra,frenchopen,2
4474,14,1928,third round,3,6.0,18.0,Artens,0,3,clay,Boyd,frenchopen,2
4717,15,1928,third round,3,6.0,19.0,Wood,0,3,clay,Cochet,frenchopen,2
4960,16,1928,third round,3,14.0,22.0,Kingsley,0,3,clay,Hunter,frenchopen,2
22,1,1928,fourth round,4,5.0,18.0,Matejka,0,3,clay,Lacoste,frenchopen,2
608,2,1928,fourth round,4,16.0,21.0,Gentien,1,3,clay,Crawford,frenchopen,2
1113,3,1928,fourth round,4,13.0,23.0,Sleem,0,3,clay,Brugnon,frenchopen,2
1526,4,1928,fourth round,4,12.0,22.0,Robson,1,3,clay,Hawkes,frenchopen,2
1944,5,1928,fourth round,4,15.0,20.0,Patterson,1,2,clay,Boussus,frenchopen,2
2269,6,1928,fourth round,4,20.0,25.0,Gaston,2,3,clay,Borotra,frenchopen,2
2596,7,1928,fourth round,4,9.0,19.0,Grandguillot,0,3,clay,Boyd,frenchopen,2
2927,8,1928,fourth round,4,16.0,19.0,Hunter,1,3,clay,Cochet,frenchopen,2
23,1,1928,quarterfinals,5,6.0,19.0,Jack Crawford,0,3,clay,Rene Lacoste,frenchopen,2
609,2,1928,quarterfinals,5,22.0,25.0,Jacques Brugnon,2,3,clay,Jack Hawkes,frenchopen,2
1114,3,1928,quarterfinals,5,15.0,22.0,Christian Boussus,1,3,clay,Jean Borotra,frenchopen,2
1527,4,1928,quarterfinals,5,11.0,19.0,Ronaldo Boyd,0,3,clay,Henri Cochet,frenchopen,2
25,1,1928,semifinals,6,7.0,18.0,Jack Hawkes,0,3,clay,Rene Lacoste,frenchopen,2
610,2,1928,semifinals,6,18.0,21.0,Jean Borotra,1,3,clay,Henri Cochet,frenchopen,2
20,1,1928,final,7,14.0,23.0,Rene Lacoste,1,3,clay,Henri Cochet,frenchopen,2
612,2,1929,first round,1,5.0,18.0,Del Bono,0,3,clay,Hunter,frenchopen,2
1530,4,1929,first round,1,12.0,19.0,Combemale,0,3,clay,Malacek,frenchopen,2
2599,7,1929,first round,1,21.0,20.0,Joba,2,3,clay,Nielsen,frenchopen,2
3256,9,1929,first round,1,10.0,20.0,Fyzee,1,3,clay,Berthet,frenchopen,2
3745,11,1929,first round,1,25.0,27.0,Borotra,2,3,clay,Artens,frenchopen,2
4475,14,1929,first round,1,12.0,19.0,Horn,0,3,clay,Piel,frenchopen,2
4718,15,1929,first round,1,7.0,18.0,Cousin,0,3,clay,Bonzi,frenchopen,2
4961,16,1929,first round,1,16.0,18.0,Zerlendis,1,3,clay,George,frenchopen,2
5200,17,1929,first round,1,11.0,22.0,Rodel,1,3,clay,De Morpurgo,frenchopen,2
5354,18,1929,first round,1,6.0,18.0,Zafiropoulo,0,3,clay,Aslangul,frenchopen,2
30,1,1929,second round,2,6.0,18.0,Zahar,0,3,clay,Cochet,frenchopen,2
615,2,1929,second round,2,11.0,22.0,Menzel,1,3,clay,Grandguillot,frenchopen,2
1533,4,1929,second round,2,7.0,18.0,Deniau,0,3,clay,Gentien,frenchopen,2
1948,5,1929,second round,2,4.0,18.0,Landauer,0,3,clay,Gregory,frenchopen,2
2273,6,1929,second round,2,9.0,19.0,Rawlins,0,3,clay,Aeschliman,frenchopen,2
2601,7,1929,second round,2,14.0,24.0,Chiesa,1,3,clay,Brugnon,frenchopen,2
2931,8,1929,second round,2,6.0,19.0,Ernst,0,3,clay,Kleinschroth,frenchopen,2
3257,9,1929,second round,2,13.0,21.0,TorralvaPonsa,0,3,clay,Borotra,frenchopen,2
3501,10,1929,second round,2,3.0,18.0,Rebois,0,3,clay,Landau,frenchopen,2
3746,11,1929,second round,2,8.0,18.0,De Borman,0,3,clay,Boussus,frenchopen,2
3989,12,1929,second round,2,11.0,21.0,Siedoff,1,3,clay,Glasser,frenchopen,2
4230,13,1929,second round,2,8.0,19.0,Danet,0,3,clay,Hunter,frenchopen,2
4476,14,1929,second round,2,14.0,23.0,Galeppe,1,3,clay,Malacek,frenchopen,2
4719,15,1929,second round,2,7.0,18.0,Nielsen,0,3,clay,Bernard,frenchopen,2
4962,16,1929,second round,2,18.0,20.0,Berthet,2,3,clay,Matejka,frenchopen,2
5201,17,1929,second round,2,11.0,18.0,Guillemot,0,3,clay,Artens,frenchopen,2
5355,18,1929,second round,2,17.0,24.0,Augustin,2,3,clay,Rasmussen,frenchopen,2
5659,20,1929,second round,2,5.0,18.0,George,0,3,clay,De Morpurgo,frenchopen,2
5808,21,1929,second round,2,22.0,30.0,Aslangul,2,3,clay,Coen,frenchopen,2
6106,23,1929,second round,2,22.0,27.0,Olliff,2,3,clay,Du Plaix,frenchopen,2
6255,24,1929,second round,2,3.0,18.0,Wetzel,0,3,clay,Tilden,frenchopen,2
6403,25,1929,second round,2,10.0,20.0,Covington,0,3,clay,Magaloff,frenchopen,2
6546,26,1929,second round,2,10.0,18.0,Thurneyssen,0,3,clay,Timmer,frenchopen,2
6691,27,1929,second round,2,6.0,18.0,MartinLegeay,0,3,clay,Von Kehrling,frenchopen,2
6836,28,1929,second round,2,0.0,18.0,Goldschmidt,0,3,clay,Austin,frenchopen,2
6974,29,1929,second round,2,9.0,21.0,Serventi,1,3,clay,Feret,frenchopen,2
7114,30,1929,second round,2,6.0,14.0,Samazeuilh,0,3,clay,Prenn,frenchopen,2
7254,31,1929,second round,2,16.0,15.0,Dannon,2,2,clay,Mishu,frenchopen,2
32,1,1929,third round,3,15.0,25.0,Grandguillot,2,3,clay,Cochet,frenchopen,2
617,2,1929,third round,3,6.0,18.0,Gentien,0,3,clay,Moldenhauer,frenchopen,2
