,match,year,round,round_number,winner,loser,sets_winner,sets_loser,games_winner,games_loser,surface,tourney_name,tourney_order
2408,7,1925,third round,3,J Vlasto,E Harvey,2,0,14.0,10.0,clay,frenchopen,2
2701,8,1925,third round,3,N Desclercs,Y Bourgeois,2,1,14.0,12.0,clay,frenchopen,2
2,1,1925,quarterfinals,5,Suzanne Lenglen,Evelyn Colyer,2,0,12.0,2.0,clay,frenchopen,2
566,2,1925,quarterfinals,5,Helene Contostavlos,Simonne Passemard,2,0,13.0,8.0,clay,frenchopen,2
1037,3,1925,quarterfinals,5,Kitty McKane,Marguerite Billout,2,0,16.0,8.0,clay,frenchopen,2
1425,4,1925,quarterfinals,5,Julie Vlasto,Nicole Desclercs,2,0,12.0,3.0,clay,frenchopen,2
4,1,1925,semifinals,6,Suzanne Lenglen,Helene Contostavlos,2,0,12.0,2.0,clay,frenchopen,2
568,2,1925,semifinals,6,Kitty McKane,Julie Vlasto,2,0,12.0,4.0,clay,frenchopen,2
0,1,1925,final,7,Suzanne Lenglen,Kitty McKane,2,0,12.0,3.0,clay,frenchopen,2
7,1,1926,first round,1,Lenglen,Peteri,2,0,12.0,0.0,clay,frenchopen,2
570,2,1926,first round,1,ShepherdBarron,Conquet,2,0,12.0,7.0,clay,frenchopen,2
1040,3,1926,first round,1,Jessup,Lebesnerais,2,0,12.0,5.0,clay,frenchopen,2
1427,4,1926,first round,1,Mathieu,Bourgeois,2,1,12.0,9.0,clay,frenchopen,2
1809,5,1926,first round,1,Ryan,Danet,2,1,17.0,12.0,clay,frenchopen,2
2114,6,1926,first round,1,Vaussard,Charnelet,2,0,12.0,4.0,clay,frenchopen,2
2409,7,1926,first round,1,Fry,Bourgeois,2,0,12.0,5.0,clay,frenchopen,2
2702,8,1926,first round,1,Descleres,Le Conte,2,0,12.0,6.0,clay,frenchopen,2
2993,9,1926,first round,1,Browne,Des Landes De Danoet,2,0,12.0,4.0,clay,frenchopen,2
3202,10,1926,first round,1,Deve,Munford,2,0,12.0,7.0,clay,frenchopen,2
3408,11,1926,first round,1,Grasset,WynsSperanza,2,0,12.0,3.0,clay,frenchopen,2
3617,12,1926,first round,1,Godfree,De Borman,2,0,12.0,3.0,clay,frenchopen,2
3824,13,1926,first round,1,Lecaron,Contostavlos,2,0,12.0,6.0,clay,frenchopen,2
4030,14,1926,first round,1,Sherbatskoy,Vlasto,2,0,12.0,3.0,clay,frenchopen,2
4236,15,1926,first round,1,Bouman,Colyer,2,0,12.0,3.0,clay,frenchopen,2
4436,16,1926,first round,1,Wills,Golding,2,0,13.0,8.0,clay,frenchopen,2
9,1,1926,second round,2,Lenglen,ShepherdBarron,2,0,12.0,0.0,clay,frenchopen,2
572,2,1926,second round,2,Mathieu,Jessup,2,1,17.0,13.0,clay,frenchopen,2
1042,3,1926,second round,2,Ryan,Vaussard,2,0,12.0,6.0,clay,frenchopen,2
1429,4,1926,second round,2,Fry,Descleres,2,0,19.0,12.0,clay,frenchopen,2
1810,5,1926,second round,2,Browne,Deve,2,1,16.0,13.0,clay,frenchopen,2
2115,6,1926,second round,2,Godfree,Grasset,2,0,12.0,8.0,clay,frenchopen,2
2410,7,1926,second round,2,Lecaron,Sherbatskoy,2,0,12.0,4.0,clay,frenchopen,2
8,1,1926,quarterfinals,5,Suzanne Lenglen,Simonne Mathieu,2,0,12.0,0.0,clay,frenchopen,2
571,2,1926,quarterfinals,5,Joan Fry Lakeman,Elizabeth Ryan,2,1,21.0,20.0,clay,frenchopen,2
1041,3,1926,quarterfinals,5,Mary K Browne,Kathleen McKane Godfree,2,0,13.0,5.0,clay,frenchopen,2
1428,4,1926,quarterfinals,5,Kornelia Bouman,S Lecaron,2,1,21.0,17.0,clay,frenchopen,2
10,1,1926,semifinals,6,Suzanne Lenglen,Joan Fry Lakeman,2,0,12.0,3.0,clay,frenchopen,2
573,2,1926,semifinals,6,Mary K Browne,Kornelia Bouman,2,0,14.0,8.0,clay,frenchopen,2
6,1,1926,final,7,Suzanne Lenglen,Mary K Browne,2,0,12.0,1.0,clay,frenchopen,2
12,1,1927,first round,1,Aussem,Contostavlos,2,1,13.0,9.0,clay,frenchopen,2
1043,3,1927,first round,1,Des Landes De Danoet,Sigart,2,1,16.0,14.0,clay,frenchopen,2
1430,4,1927,first round,1,Mathieu,Rosenbaum,2,1,17.0,12.0,clay,frenchopen,2
1811,5,1927,first round,1,Cousin,Pons,2,0,12.0,5.0,clay,frenchopen,2
2411,7,1927,first round,1,SaundersTaylor,Gallay,2,0,12.0,6.0,clay,frenchopen,2
2703,8,1927,first round,1,Deve,Amaury,2,1,15.0,12.0,clay,frenchopen,2
14,1,1927,second round,2,Billout,Cantenat,2,0,12.0,3.0,clay,frenchopen,2
1045,3,1927,second round,2,Bennett,Lebesnerais,2,0,12.0,5.0,clay,frenchopen,2
1432,4,1927,second round,2,Neppach,WynsSperanza,2,0,13.0,6.0,clay,frenchopen,2
1812,5,1927,second round,2,Peacock,Golding,2,0,12.0,8.0,clay,frenchopen,2
2116,6,1927,second round,2,Charnelet,Sigart,2,0,13.0,8.0,clay,frenchopen,2
2412,7,1927,second round,2,Aussem,Ridley,2,0,12.0,7.0,clay,frenchopen,2
2704,8,1927,second round,2,Mathieu,Des Landes De Danoet,2,0,13.0,9.0,clay,frenchopen,2
2994,9,1927,second round,2,Tapscott,Cousin,2,0,20.0,16.0,clay,frenchopen,2
3203,10,1927,second round,2,Deve,SaundersTaylor,2,1,15.0,9.0,clay,frenchopen,2
3409,11,1927,second round,2,Friedleben,Beauge,2,0,12.0,3.0,clay,frenchopen,2
3618,12,1927,second round,2,Bouman,Le Conte,2,0,12.0,6.0,clay,frenchopen,2
3825,13,1927,second round,2,Bobbie Heine,Bourgeois,2,1,16.0,17.0,clay,frenchopen,2
4031,14,1927,second round,2,Watson,Grasset,2,0,12.0,4.0,clay,frenchopen,2
4237,15,1927,second round,2,Von Reznicek,Vaussard,2,1,17.0,13.0,clay,frenchopen,2
4437,16,1927,second round,2,De Alvarez,Holzschuch,2,0,12.0,3.0,clay,frenchopen,2
16,1,1927,third round,3,Billout,Barbier,2,0,12.0,4.0,clay,frenchopen,2
576,2,1927,third round,3,Bennett,Neppach,2,1,17.0,13.0,clay,frenchopen,2
1046,3,1927,third round,3,Peacock,Charnelet,2,0,12.0,5.0,clay,frenchopen,2
1433,4,1927,third round,3,Aussem,Mathieu,2,1,16.0,9.0,clay,frenchopen,2
1813,5,1927,third round,3,Tapscott,Deve,2,0,12.0,5.0,clay,frenchopen,2
2117,6,1927,third round,3,Bouman,Friedleben,2,1,15.0,9.0,clay,frenchopen,2
2413,7,1927,third round,3,Bobbie Heine,Watson,2,0,12.0,6.0,clay,frenchopen,2
2705,8,1927,third round,3,De Alvarez,Von Reznicek,2,0,12.0,5.0,clay,frenchopen,2
13,1,1927,quarterfinals,5,Eileen Bennett,Marguerite Billout,2,1,16.0,10.0,clay,frenchopen,2
574,2,1927,quarterfinals,5,Irene Peacock,Cilly Aussem,2,1,16.0,12.0,clay,frenchopen,2
1044,3,1927,quarterfinals,5,Kornelia Bouman,Billie Tapscott,2,0,12.0,2.0,clay,frenchopen,2
1431,4,1927,quarterfinals,5,Bobbie Heine,Lilly De Alvarez,2,1,17.0,16.0,clay,frenchopen,2
15,1,1927,semifinals,6,Irene Peacock,Eileen Bennett,2,1,20.0,15.0,clay,frenchopen,2
575,2,1927,semifinals,6,Kornelia Bouman,Bobbie Heine,2,1,17.0,14.0,clay,frenchopen,2
11,1,1927,final,7,Kornelia Bouman,Irene Peacock,2,0,12.0,6.0,clay,frenchopen,2
18,1,1928,first round,1,Fry,Neufeld,2,1,14.0,8.0,clay,frenchopen,2
1434,4,1928,first round,1,OHara Wood,Barbier,2,0,16.0,11.0,clay,frenchopen,2
1814,5,1928,first round,1,Hardie,Gallay,2,0,12.0,6.0,clay,frenchopen,2
2118,6,1928,first round,1,Henrotin,Kleinadel,2,0,12.0,7.0,clay,frenchopen,2
2995,9,1928,first round,1,Nuthall,Lebesnerais,2,0,16.0,12.0,clay,frenchopen,2
3410,11,1928,first round,1,Mallory,Le Conte,2,0,12.0,2.0,clay,frenchopen,2
20,1,1928,second round,2,Wills,Marcou,2,0,12.0,3.0,clay,frenchopen,2
578,2,1928,second round,2,Aussem,Watson,2,1,16.0,11.0,clay,frenchopen,2
1048,3,1928,second round,2,Couquerque,Beauge,2,1,17.0,15.0,clay,frenchopen,2
1436,4,1928,second round,2,Bordes,Lycett,2,0,12.0,4.0,clay,frenchopen,2
1815,5,1928,second round,2,Akhurst,Amaury,2,0,12.0,2.0,clay,frenchopen,2
2119,6,1928,second round,2,Fry,Peyre,2,1,18.0,11.0,clay,frenchopen,2
2414,7,1928,second round,2,OHara Wood,Macready,2,0,12.0,6.0,clay,frenchopen,2
2706,8,1928,second round,2,Hardie,Henrotin,2,1,16.0,13.0,clay,frenchopen,2
2996,9,1928,second round,2,Vaussard,Fourcade,2,0,12.0,5.0,clay,frenchopen,2
3204,10,1928,second round,2,Charnelet,Nuthall,2,0,12.0,8.0,clay,frenchopen,2
3411,11,1928,second round,2,Boyd,Mallory,2,1,15.0,10.0,clay,frenchopen,2
3619,12,1928,second round,2,Bouman,Colyer,2,0,12.0,5.0,clay,frenchopen,2
3826,13,1928,second round,2,Anthony,Canters,1,0,6.0,4.0,clay,frenchopen,2
4032,14,1928,second round,2,Bennett,Bourgeois,2,1,15.0,9.0,clay,frenchopen,2
4238,15,1928,second round,2,Bickerton,Conquet,2,0,12.0,3.0,clay,frenchopen,2
22,1,1928,third round,3,Wills,Aussem,2,0,12.0,3.0,clay,frenchopen,2
580,2,1928,third round,3,Couquerque,Bordes,2,0,16.0,10.0,clay,frenchopen,2
1049,3,1928,third round,3,Akhurst,Fry,2,0,12.0,2.0,clay,frenchopen,2
1437,4,1928,third round,3,Hardie,OHara Wood,2,0,14.0,10.0,clay,frenchopen,2
1816,5,1928,third round,3,Vaussard,Charnelet,2,0,13.0,8.0,clay,frenchopen,2
2120,6,1928,third round,3,Bouman,Boyd,2,1,16.0,9.0,clay,frenchopen,2
2415,7,1928,third round,3,Bennett,Anthony,2,0,12.0,2.0,clay,frenchopen,2
2707,8,1928,third round,3,Anderson,Bickerton,2,1,24.0,18.0,clay,frenchopen,2
19,1,1928,quarterfinals,5,Helen Wills,Madzy Rollin Couquerque,2,0,12.0,2.0,clay,frenchopen,2
577,2,1928,quarterfinals,5,Cristobel Hardie,Daphne Akhurst,2,0,16.0,10.0,clay,frenchopen,2
1047,3,1928,quarterfinals,5,Kornelia Bouman,J Vaussard,2,0,12.0,0.0,clay,frenchopen,2
1435,4,1928,quarterfinals,5,Eileen Bennett,Penelope Anderson,2,1,20.0,17.0,clay,frenchopen,2
21,1,1928,semifinals,6,Helen Wills,Cristobel Hardie,2,0,12.0,2.0,clay,frenchopen,2
579,2,1928,semifinals,6,Eileen Bennett,Kornelia Bouman,2,0,14.0,8.0,clay,frenchopen,2
17,1,1928,final,7,Helen Wills,Eileen Bennett,2,0,12.0,3.0,clay,frenchopen,2
24,1,1929,first round,1,Sigart,Vaussard,2,0,13.0,9.0,clay,frenchopen,2
581,2,1929,first round,1,Rost,Rosambert,2,0,12.0,7.0,clay,frenchopen,2
1050,3,1929,first round,1,Goldsack,Anet,2,0,14.0,10.0,clay,frenchopen,2
1438,4,1929,first round,1,Henrotin,De Smidt,2,1,16.0,14.0,clay,frenchopen,2
1817,5,1929,first round,1,Krahwinkel,Le Conte,2,0,12.0,2.0,clay,frenchopen,2
2121,6,1929,first round,1,Bennett,Amaury,2,0,12.0,5.0,clay,frenchopen,2
2416,7,1929,first round,1,Barbier,Schaublin,2,0,13.0,8.0,clay,frenchopen,2
2997,9,1929,first round,1,Bordes,Tapscott,2,0,13.0,7.0,clay,frenchopen,2
3412,11,1929,first round,1,Lowenthal,Neufeld,2,1,17.0,10.0,clay,frenchopen,2
3620,12,1929,first round,1,Neave,Charpenel,2,1,18.0,12.0,clay,frenchopen,2
3827,13,1929,first round,1,Kleinadel,Thomas,2,0,12.0,5.0,clay,frenchopen,2
4033,14,1929,first round,1,Bundy,Peyre,2,0,13.0,6.0,clay,frenchopen,2
4239,15,1929,first round,1,Friedleben,Bernard,2,0,12.0,0.0,clay,frenchopen,2
4438,16,1929,first round,1,Valerio,Culbert,2,0,12.0,4.0,clay,frenchopen,2
4634,17,1929,first round,1,Mathieu,Johnstone,2,0,12.0,4.0,clay,frenchopen,2
4745,18,1929,first round,1,Peitz,WynsSperanza,2,0,12.0,4.0,clay,frenchopen,2
4858,19,1929,first round,1,Cole,Guillier,2,0,12.0,2.0,clay,frenchopen,2
4968,20,1929,first round,1,Morrill,Danet,2,0,12.0,2.0,clay,frenchopen,2
5079,21,1929,first round,1,Watson,Charnelet,2,0,12.0,3.0,clay,frenchopen,2
5188,22,1929,first round,1,Adamoff,Sigart,2,0,12.0,2.0,clay,frenchopen,2
5298,23,1929,first round,1,Couquerque,Lebesnerais,2,0,12.0,4.0,clay,frenchopen,2
5403,24,1929,first round,1,Payot,Metaxa,2,0,12.0,3.0,clay,frenchopen,2
5505,25,1929,first round,1,Aussem,Gallay,2,0,12.0,2.0,clay,frenchopen,2
5608,26,1929,first round,1,Macready,Berthet,1,1,11.0,11.0,clay,frenchopen,2
583,2,1929,second round,2,Tapscott,Sigart,2,0,12.0,4.0,clay,frenchopen,2
1052,3,1929,second round,2,Rost,Goldsack,2,1,20.0,20.0,clay,frenchopen,2
1440,4,1929,second round,2,Henrotin,Krahwinkel,2,1,16.0,13.0,clay,frenchopen,2
1818,5,1929,second round,2,Bennett,Barbier,2,0,12.0,5.0,clay,frenchopen,2
2122,6,1929,second round,2,Bordes,Hanckett,2,0,12.0,2.0,clay,frenchopen,2
2417,7,1929,second round,2,Ridley,Lowenthal,2,0,12.0,5.0,clay,frenchopen,2
2708,8,1929,second round,2,Neave,Kleinadel,2,0,17.0,13.0,clay,frenchopen,2
2998,9,1929,second round,2,Friedleben,Bundy,2,0,13.0,6.0,clay,frenchopen,2
3205,10,1929,second round,2,Mathieu,Valerio,2,0,12.0,7.0,clay,frenchopen,2
3413,11,1929,second round,2,Peitz,Cole,2,1,16.0,15.0,clay,frenchopen,2
3621,12,1929,second round,2,Watson,Morrill,2,0,12.0,3.0,clay,frenchopen,2
3828,13,1929,second round,2,Adamoff,Couquerque,2,0,12.0,3.0,clay,frenchopen,2
4034,14,1929,second round,2,Aussem,Payot,2,0,12.0,6.0,clay,frenchopen,2
4240,15,1929,second round,2,Berthet,Cross,2,0,16.0,11.0,clay,frenchopen,2
4439,16,1929,second round,2,Heine Miller,Fourcade,2,0,13.0,8.0,clay,frenchopen,2
27,1,1929,third round,3,Wills,Tapscott,2,0,12.0,4.0,clay,frenchopen,2
585,2,1929,third round,3,Henrotin,Rost,2,1,15.0,11.0,clay,frenchopen,2
1053,3,1929,third round,3,Bennett,Bordes,2,1,16.0,15.0,clay,frenchopen,2
1441,4,1929,third round,3,Neave,Ridley,2,1,14.0,10.0,clay,frenchopen,2
1819,5,1929,third round,3,Mathieu,Friedleben,2,1,21.0,16.0,clay,frenchopen,2
2123,6,1929,third round,3,Watson,Peitz,2,0,12.0,4.0,clay,frenchopen,2
2418,7,1929,third round,3,Aussem,Adamoff,2,0,12.0,6.0,clay,frenchopen,2
2709,8,1929,third round,3,Heine Miller,Berthet,2,0,12.0,8.0,clay,frenchopen,2
25,1,1929,quarterfinals,5,Helen Wills,Sylvie Henrotin,2,0,12.0,5.0,clay,frenchopen,2
582,2,1929,quarterfinals,5,Eileen Bennett,Alida Neave,2,0,13.0,6.0,clay,frenchopen,2
1051,3,1929,quarterfinals,5,Simonne Mathieu,Phoebe Watson,2,1,16.0,10.0,clay,frenchopen,2
1439,4,1929,quarterfinals,5,Cilly Aussem,Bobbie Heine Miller,2,1,17.0,14.0,clay,frenchopen,2
26,1,1929,semifinals,6,Helen Wills,Eileen Bennett,2,0,13.0,7.0,clay,frenchopen,2
584,2,1929,semifinals,6,Simonne Mathieu,Cilly Aussem,2,1,16.0,14.0,clay,frenchopen,2
23,1,1929,final,7,Helen Wills,Simonne Mathieu,2,0,12.0,7.0,clay,frenchopen,2
29,1,1930,first round,1,Kleinadel,Amaury,2,0,14.0,7.0,clay,frenchopen,2
586,2,1930,first round,1,Ryan,Desloge,2,0,16.0,10.0,clay,frenchopen,2
1054,3,1930,first round,1,Bordes,Charpenel,2,1,16.0,8.0,clay,frenchopen,2
1820,5,1930,first round,1,Barbier,Lebesnerais,2,0,16.0,12.0,clay,frenchopen,2
2419,7,1930,first round,1,Friedleben,Danet,2,0,12.0,4.0,clay,frenchopen,2
2710,8,1930,first round,1,Peitz,Gallay,2,0,12.0,8.0,clay,frenchopen,2
2999,9,1930,first round,1,Lili Alvarez,De Oberschall,2,0,12.0,1.0,clay,frenchopen,2
3206,10,1930,first round,1,Stockel,De Montebello,2,0,12.0,5.0,clay,frenchopen,2
3414,11,1930,first round,1,Owen,Anet,2,1,17.0,11.0,clay,frenchopen,2
31,1,1930,second round,2,Moody,Neufeld,2,0,12.0,0.0,clay,frenchopen,2
588,2,1930,second round,2,Mudford,Adamoff,2,0,12.0,5.0,clay,frenchopen,2
1821,5,1930,second round,2,Aussem,Bernard,2,0,12.0,7.0,clay,frenchopen,2
2124,6,1930,second round,2,Sigart,Kleinadel,2,0,12.0,2.0,clay,frenchopen,2
2420,7,1930,second round,2,Ryan,Bordes,2,0,12.0,4.0,clay,frenchopen,2
2711,8,1930,second round,2,Barbier,Vaananem,2,0,12.0,3.0,clay,frenchopen,2
3000,9,1930,second round,2,Friedleben,Charnelet,2,0,13.0,7.0,clay,frenchopen,2
3207,10,1930,second round,2,Lili Alvarez,Peitz,2,0,12.0,8.0,clay,frenchopen,2
3415,11,1930,second round,2,Owen,Stockel,2,0,13.0,5.0,clay,frenchopen,2
3622,12,1930,second round,2,Mathieu,Berthet,2,0,12.0,3.0,clay,frenchopen,2
3829,13,1930,second round,2,Payot,Meunier,2,0,14.0,9.0,clay,frenchopen,2
4035,14,1930,second round,2,Jacobs,Vaussard,2,0,12.0,0.0,clay,frenchopen,2
4241,15,1930,second round,2,Krahwinkel,Peyre,2,0,12.0,6.0,clay,frenchopen,2
4440,16,1930,second round,2,HolcroftWatson,Guillier,2,0,12.0,6.0,clay,frenchopen,2
33,1,1930,third round,3,Moody,Mudford,2,0,12.0,6.0,clay,frenchopen,2
590,2,1930,third round,3,Rost,Golding,2,0,13.0,7.0,clay,frenchopen,2
1056,3,1930,third round,3,Aussem,Sigart,2,0,12.0,7.0,clay,frenchopen,2
1443,4,1930,third round,3,Ryan,Barbier,2,0,12.0,3.0,clay,frenchopen,2
1822,5,1930,third round,3,Lili Alvarez,Friedleben,2,1,16.0,14.0,clay,frenchopen,2
2125,6,1930,third round,3,Mathieu,Owen,2,0,12.0,4.0,clay,frenchopen,2
2421,7,1930,third round,3,Jacobs,Payot,2,0,12.0,2.0,clay,frenchopen,2
2712,8,1930,third round,3,HolcroftWatson,Krahwinkel,2,0,12.0,6.0,clay,frenchopen,2
30,1,1930,quarterfinals,5,Helen Moody,Irmgard Rost,2,0,12.0,1.0,clay,frenchopen,2
587,2,1930,quarterfinals,5,Cilly Aussem,Elizabeth Ryan,2,1,16.0,7.0,clay,frenchopen,2
1055,3,1930,quarterfinals,5,Lili Alvarez,Simonne Mathieu,2,0,13.0,8.0,clay,frenchopen,2
1442,4,1930,quarterfinals,5,Helen Jacobs,Phoebe Holcroft Watson,2,1,17.0,11.0,clay,frenchopen,2
32,1,1930,semifinals,6,Helen Moody,Cilly Aussem,2,0,12.0,3.0,clay,frenchopen,2
589,2,1930,semifinals,6,Helen Jacobs,Lili Alvarez,2,0,12.0,1.0,clay,frenchopen,2
28,1,1930,final,7,Helen Moody,Helen Jacobs,2,0,12.0,3.0,clay,frenchopen,2
35,1,1931,first round,1,Rosambert,ShepherdBarron,2,0,12.0,7.0,clay,frenchopen,2
591,2,1931,first round,1,Ridley,Charpenel,2,0,12.0,4.0,clay,frenchopen,2
1057,3,1931,first round,1,Burke,Gallay,2,0,16.0,12.0,clay,frenchopen,2
1444,4,1931,first round,1,Valerio,WynsSperanza,2,0,12.0,5.0,clay,frenchopen,2
1823,5,1931,first round,1,Lowenthal,Gallay,2,0,14.0,6.0,clay,frenchopen,2
2126,6,1931,first round,1,De Alvarez,Marre,2,0,12.0,6.0,clay,frenchopen,2
3001,9,1931,first round,1,Horn,Anet,2,1,20.0,18.0,clay,frenchopen,2
3208,10,1931,first round,1,Ryan,Bernard,2,0,12.0,4.0,clay,frenchopen,2
3416,11,1931,first round,1,Jedrzejowska,Vaussard,2,1,15.0,12.0,clay,frenchopen,2
3623,12,1931,first round,1,Whittingstall,Charnelet,2,1,17.0,12.0,clay,frenchopen,2
3830,13,1931,first round,1,Peitz,Berthet,2,0,12.0,6.0,clay,frenchopen,2
4036,14,1931,first round,1,Hilleary,De Montebello,2,0,12.0,4.0,clay,frenchopen,2
4441,16,1931,first round,1,Lebesnerais,Barger Wallach,2,0,12.0,5.0,clay,frenchopen,2
4635,17,1931,first round,1,Nuthall,Kleinadel,2,0,12.0,4.0,clay,frenchopen,2
4746,18,1931,first round,1,Rost,Barbier,2,0,12.0,4.0,clay,frenchopen,2
4859,19,1931,first round,1,Metaxa,Sigart,2,1,19.0,16.0,clay,frenchopen,2
4969,20,1931,first round,1,Nicolopoulos,Macready,2,0,12.0,4.0,clay,frenchopen,2
5080,21,1931,first round,1,Jacobs,Meunier,2,0,12.0,2.0,clay,frenchopen,2
5189,22,1931,first round,1,Goldschmidt,Gladman,2,1,13.0,9.0,clay,frenchopen,2
5299,23,1931,first round,1,Heeley,Peyre,2,0,12.0,6.0,clay,frenchopen,2
5404,24,1931,first round,1,Riboli,Danet,2,0,12.0,1.0,clay,frenchopen,2
5506,25,1931,first round,1,Krahwinkel,Neufeld,2,1,13.0,10.0,clay,frenchopen,2
5709,27,1931,first round,1,Payot,Amaury,2,0,12.0,2.0,clay,frenchopen,2
37,1,1931,second round,2,Aussem,Belliard,2,0,12.0,5.0,clay,frenchopen,2
593,2,1931,second round,2,Henrotin,Rosambert,2,1,13.0,10.0,clay,frenchopen,2
1059,3,1931,second round,2,Ridley,Burke,2,0,12.0,3.0,clay,frenchopen,2
1446,4,1931,second round,2,Valerio,Lowenthal,2,0,12.0,1.0,clay,frenchopen,2
1824,5,1931,second round,2,De Alvarez,Pons,2,0,15.0,11.0,clay,frenchopen,2
2127,6,1931,second round,2,Guillier,Horn,2,0,12.0,5.0,clay,frenchopen,2
2422,7,1931,second round,2,Ryan,Jedrzejowska,2,1,17.0,16.0,clay,frenchopen,2
2713,8,1931,second round,2,Peitz,Whittingstall,2,1,25.0,22.0,clay,frenchopen,2
3002,9,1931,second round,2,Adamoff,Hilleary,2,1,16.0,12.0,clay,frenchopen,2
3209,10,1931,second round,2,Nuthall,Lebesnerais,2,0,12.0,2.0,clay,frenchopen,2
3417,11,1931,second round,2,Metaxa,Rost,2,0,12.0,5.0,clay,frenchopen,2
3624,12,1931,second round,2,Jacobs,Nicolopoulos,2,0,12.0,3.0,clay,frenchopen,2
3831,13,1931,second round,2,Heeley,Goldschmidt,2,0,12.0,3.0,clay,frenchopen,2
4037,14,1931,second round,2,Krahwinkel,Riboli,2,0,12.0,4.0,clay,frenchopen,2
4242,15,1931,second round,2,Payot,Thomas,2,0,12.0,4.0,clay,frenchopen,2
4442,16,1931,second round,2,Mathieu,Holzschuch,2,0,12.0,5.0,clay,frenchopen,2
39,1,1931,third round,3,Aussem,Henrotin,2,1,18.0,14.0,clay,frenchopen,2
595,2,1931,third round,3,Valerio,Ridley,2,1,15.0,12.0,clay,frenchopen,2
1060,3,1931,third round,3,De Alvarez,Guillier,2,0,12.0,6.0,clay,frenchopen,2
1447,4,1931,third round,3,Ryan,Peitz,2,1,13.0,10.0,clay,frenchopen,2
1825,5,1931,third round,3,Nuthall,Adamoff,2,0,12.0,5.0,clay,frenchopen,2
2128,6,1931,third round,3,Jacobs,Metaxa,2,1,17.0,14.0,clay,frenchopen,2
2423,7,1931,third round,3,Krahwinkel,Heeley,2,1,15.0,12.0,clay,frenchopen,2
2714,8,1931,third round,3,Mathieu,Payot,2,0,13.0,6.0,clay,frenchopen,2
36,1,1931,quarterfinals,5,Cilly Aussem,Lucia Valerio,2,0,14.0,8.0,clay,frenchopen,2
592,2,1931,quarterfinals,5,Lilly De Alvarez,Elizabeth Ryan,2,1,17.0,14.0,clay,frenchopen,2
1058,3,1931,quarterfinals,5,Betty Nuthall,Helen Jacobs,2,0,12.0,5.0,clay,frenchopen,2
1445,4,1931,quarterfinals,5,Hilde Krahwinkel,Simonne Mathieu,2,0,12.0,7.0,clay,frenchopen,2
38,1,1931,semifinals,6,Cilly Aussem,Lilly De Alvarez,2,0,13.0,5.0,clay,frenchopen,2
594,2,1931,semifinals,6,Betty Nuthall,Hilde Krahwinkel,2,0,12.0,3.0,clay,frenchopen,2
34,1,1931,final,7,Cilly Aussem,Betty Nuthall,2,0,14.0,7.0,clay,frenchopen,2
41,1,1932,first round,1,Payot,WynsSperanza,2,0,12.0,4.0,clay,frenchopen,2
596,2,1932,first round,1,Hewitt,Gallay,2,0,12.0,3.0,clay,frenchopen,2
1061,3,1932,first round,1,Krahwinkel,Charnelet,2,0,12.0,3.0,clay,frenchopen,2
1448,4,1932,first round,1,Claude Anet,Macready,2,0,12.0,6.0,clay,frenchopen,2
2129,6,1932,first round,1,Burke,Gallay,2,0,12.0,7.0,clay,frenchopen,2
2424,7,1932,first round,1,Whittingstall,Amaury,2,0,12.0,5.0,clay,frenchopen,2
