,match,year,round,round_number,winner,loser,sets_winner,sets_loser,games_winner,games_loser,surface,tourney_name,tourney_order
1,1,1925,first round,1,Marie Conquet,Grierson,2,0,12.0,4.0,clay,frenchopen,2
565,2,1925,first round,1,Maud Rosenbaum,Daisy WynsSperanza,2,0,12.0,8.0,clay,frenchopen,2
3,1,1925,second round,2,Suzanne Lenglen,Yvonne des Landes de Danoet,2,0,12.0,0.0,clay,frenchopen,2
567,2,1925,second round,2,Elisabeth Macready,M Beauge,2,0,19.0,15.0,clay,frenchopen,2
1038,3,1925,second round,2,Evelyn Colyer,Germaine Pigueron,2,0,15.0,11.0,clay,frenchopen,2
2112,6,1925,second round,2,Mary McIlquham,Marie Danet,2,0,12.0,5.0,clay,frenchopen,2
2700,8,1925,second round,2,Simonne Passemard,M Conquet,2,1,17.0,16.0,clay,frenchopen,2
2992,9,1925,second round,2,Kitty McKane,M Rosenbaum,2,0,12.0,3.0,clay,frenchopen,2
3407,11,1925,second round,2,Marguerite Billout,S Lecaron,2,0,12.0,3.0,clay,frenchopen,2
3616,12,1925,second round,2,G Grasset,Leslie Aeschlimann,2,0,12.0,5.0,clay,frenchopen,2
3823,13,1925,second round,2,Julie Vlasto,Canivet,2,0,12.0,2.0,clay,frenchopen,2
4029,14,1925,second round,2,Ermyntrude Harvey,Germaine Charnelet,2,0,12.0,3.0,clay,frenchopen,2
4435,16,1925,second round,2,Yvonne Bourgeois,Yvonne Huchez,2,0,14.0,8.0,clay,frenchopen,2
5,1,1925,third round,3,S Lenglen,E Macready,2,0,12.0,0.0,clay,frenchopen,2
569,2,1925,third round,3,E Colyer,J Vaussard,2,1,20.0,19.0,clay,frenchopen,2
1039,3,1925,third round,3,H Contostavlos,M McIlquham,2,1,15.0,12.0,clay,frenchopen,2
1426,4,1925,third round,3,S Passemard,G Golding,2,0,12.0,6.0,clay,frenchopen,2
1808,5,1925,third round,3,K McKane,S Deve,2,0,12.0,3.0,clay,frenchopen,2
2113,6,1925,third round,3,M Billout,G Grasset,2,1,18.0,15.0,clay,frenchopen,2
