,match,year,round,round_number,games_loser,games_winner,loser,sets_loser,sets_winner,surface,winner,tourney_name,tourney_order
5977,13,1878,first round,1,6.0,18.0,Frederick Oliver,0,3,grass,Frank Hadow,wimbledon,3
6301,14,1878,first round,1,8.0,18.0,Beckwith Smith,0,3,grass,Robert Dalby,wimbledon,3
6622,15,1878,first round,1,0.0,18.0,FM Ashley,0,3,grass,AC Brown,wimbledon,3
6944,16,1878,first round,1,9.0,18.0,Geoffrey Buxton,0,3,grass,Arthur Myers,wimbledon,3
7266,17,1878,first round,1,10.0,23.0,C Ewbank,1,3,grass,Alexander Hadow,wimbledon,3
878,2,1878,second round,2,20.0,26.0,S Montgomerie,2,3,grass,FW Porter,wimbledon,3
1611,3,1878,second round,2,18.0,23.0,G Montgomerie,1,3,grass,CG Hamilton,wimbledon,3
2218,4,1878,second round,2,23.0,26.0,C Heathcote,2,3,grass,EB Brackenbury,wimbledon,3
2816,5,1878,second round,2,19.0,23.0,Capt Grimston,1,3,grass,H Lawford,wimbledon,3
3751,7,1878,second round,2,4.0,18.0,A Tabor,0,3,grass,F Hadow,wimbledon,3
4211,8,1878,second round,2,3.0,18.0,RD Dalby,0,3,grass,AC Brown,wimbledon,3
4657,9,1878,second round,2,19.0,19.0,A Hadow,2,3,grass,A Myers,wimbledon,3
9,1,1878,third round,3,11.0,23.0,FW Porter,1,3,grass,R Erskine,wimbledon,3
879,2,1878,third round,3,4.0,18.0,EB Brackenbury,0,3,grass,CG Hamilton,wimbledon,3
1612,3,1878,third round,3,19.0,23.0,ER Seymour,1,3,grass,H Lawford,wimbledon,3
2219,4,1878,third round,3,5.0,18.0,AC Brown,0,3,grass,F Hadow,wimbledon,3
7,1,1878,quarterfinals,5,22.0,24.0,Charles Hamilton,2,3,grass,Robert Erskine,wimbledon,3
1610,3,1878,quarterfinals,5,7.0,18.0,Arthur Myers,0,3,grass,Frank Hadow,wimbledon,3
2217,4,1878,quarterfinals,5,22.0,24.0,CG Hamilton,2,3,grass,R Erskine,wimbledon,3
8,1,1878,semifinals,6,7.0,18.0,Herbert Lawford,0,3,grass,Robert Erskine,wimbledon,3
5,1,1878,final,7,12.0,18.0,Robert Erskine,0,3,grass,Frank Hadow,wimbledon,3
880,2,1879,first round,1,22.0,27.0,CJ Coventry,2,3,grass,Charles Heathcote,wimbledon,3
2220,4,1879,first round,1,12.0,21.0,Alfred Schacht,1,3,grass,BT Cotton,wimbledon,3
2817,5,1879,first round,1,3.0,18.0,Charles Cole,0,3,grass,John Hartley,wimbledon,3
3286,6,1879,first round,1,2.0,18.0,FW Porter,0,3,grass,Robert Erskine,wimbledon,3
3752,7,1879,first round,1,21.0,21.0,Henry Mulholland,2,3,grass,George Cartland,wimbledon,3
4212,8,1879,first round,1,5.0,18.0,Algernon Cochran,0,3,grass,William Marshall,wimbledon,3
4658,9,1879,first round,1,22.0,24.0,George Montgomerie,2,3,grass,Cecil Parr,wimbledon,3
4993,10,1879,first round,1,8.0,22.0,Edward Hill,1,3,grass,Hubert Medlycott,wimbledon,3
5325,11,1879,first round,1,8.0,18.0,Capt Belson,0,3,grass,Edward Buxton,wimbledon,3
5653,12,1879,first round,1,11.0,18.0,WF Adams,0,3,grass,Thomas Hoare,wimbledon,3
5978,13,1879,first round,1,17.0,19.0,Harry Gillson,1,3,grass,Arthur BasilBrooke,wimbledon,3
6302,14,1879,first round,1,18.0,21.0,William WellsCole,1,3,grass,Arthur Myers,wimbledon,3
6623,15,1879,first round,1,2.0,18.0,R Barrington,0,3,grass,Charles Barry,wimbledon,3
6945,16,1879,first round,1,11.0,22.0,Otway Woodhouse,1,3,grass,George Arbuthnot,wimbledon,3
7476,18,1879,first round,1,3.0,18.0,Lyttleton Winslow,0,3,grass,WE Martin,wimbledon,3
7680,19,1879,first round,1,9.0,18.0,Edmond Brackenbury,0,3,grass,S Pilkington,wimbledon,3
7882,20,1879,first round,1,11.0,22.0,Herbert Lawford,1,3,grass,Edgar Lubbock,wimbledon,3
8090,21,1879,first round,1,11.0,23.0,Arthur Tabor,1,3,grass,Alfred Mulholland,wimbledon,3
8295,22,1879,first round,1,6.0,18.0,F Durant,0,3,grass,Vere St Leger Goold,wimbledon,3
12,1,1879,second round,2,16.0,24.0,CL Stephen,2,3,grass,C Heathcote,wimbledon,3
882,2,1879,second round,2,18.0,24.0,BT Cotton,2,3,grass,V Brooke,wimbledon,3
1614,3,1879,second round,2,26.0,23.0,R Erskine,2,3,grass,J Hartley,wimbledon,3
2222,4,1879,second round,2,9.0,18.0,G Cartland,0,3,grass,W Marshall,wimbledon,3
2818,5,1879,second round,2,12.0,18.0,H Medlycott,0,3,grass,C Parr,wimbledon,3
3287,6,1879,second round,2,5.0,12.0,E Buxton,0,2,grass,T Hoare,wimbledon,3
3753,7,1879,second round,2,3.0,18.0,A BasilBrooke,0,3,grass,A Myers,wimbledon,3
4213,8,1879,second round,2,9.0,18.0,G Arbuthnot,0,3,grass,CD Barry,wimbledon,3
4659,9,1879,second round,2,19.0,22.0,WE Martin,1,3,grass,G Tabor,wimbledon,3
4994,10,1879,second round,2,4.0,18.0,S Pilkington,0,3,grass,E Lubbock,wimbledon,3
5654,12,1879,second round,2,6.0,18.0,JD Vans Agnew,0,3,grass,V Goold,wimbledon,3
14,1,1879,third round,3,3.0,18.0,V Brooke,0,3,grass,C Heathcote,wimbledon,3
883,2,1879,third round,3,11.0,22.0,W Marshall,1,3,grass,J Hartley,wimbledon,3
1615,3,1879,third round,3,12.0,19.0,T Hoare,1,3,grass,C Parr,wimbledon,3
2223,4,1879,third round,3,7.0,18.0,A Myers,0,3,grass,CD Barry,wimbledon,3
2819,5,1879,third round,3,23.0,27.0,E Lubbock,2,3,grass,G Tabor,wimbledon,3
3288,6,1879,third round,3,15.0,20.0,AJ Mulholland,1,3,grass,V Goold,wimbledon,3
11,1,1879,quarterfinals,5,10.0,18.0,Charles Heathcote,0,3,grass,John Hartley,wimbledon,3
881,2,1879,quarterfinals,5,11.0,18.0,Charles Barry,0,3,grass,Cecil Parr,wimbledon,3
1613,3,1879,quarterfinals,5,16.0,23.0,George Tabor,1,3,grass,Vere St Leger Goold,wimbledon,3
2221,4,1879,quarterfinals,5,10.0,18.0,C Heathcote,0,3,grass,J Hartley,wimbledon,3
13,1,1879,semifinals,6,8.0,20.0,Cecil Parr,1,3,grass,John Hartley,wimbledon,3
10,1,1879,final,7,8.0,18.0,Vere St Leger Goold,0,3,grass,John Hartley,wimbledon,3
16,1,1880,first round,1,17.0,20.0,Victor Brooke,1,3,grass,Dale Womersley,wimbledon,3
884,2,1880,first round,1,7.0,18.0,Frederick Maddison,0,3,grass,William Renshaw,wimbledon,3
1616,3,1880,first round,1,10.0,23.0,JH Brand,1,3,grass,Otway Woodhouse,wimbledon,3
2224,4,1880,first round,1,14.0,21.0,B Follett,1,3,grass,Francis Monement,wimbledon,3
2820,5,1880,first round,1,4.0,18.0,WM Bird,0,3,grass,CH Evill,wimbledon,3
3289,6,1880,first round,1,25.0,27.0,Edward Buxton,2,3,grass,HJ Medlycott,wimbledon,3
3754,7,1880,first round,1,7.0,18.0,FG Templer,0,3,grass,Ernest Renshaw,wimbledon,3
4214,8,1880,first round,1,4.0,18.0,RC Christian,0,3,grass,CD Heatley,wimbledon,3
4660,9,1880,first round,1,21.0,24.0,GE Tabor,2,3,grass,Henry Mulholland,wimbledon,3
4995,10,1880,first round,1,21.0,28.0,Seton Montgomerie,2,3,grass,CJ Cole,wimbledon,3
5326,11,1880,first round,1,12.0,18.0,WF WellsCole,0,3,grass,George Montgomerie,wimbledon,3
5655,12,1880,first round,1,18.0,22.0,T Taylor,1,3,grass,CL Stephen,wimbledon,3
5979,13,1880,first round,1,2.0,18.0,HE Solly,0,3,grass,GS MurrayHill,wimbledon,3
6303,14,1880,first round,1,19.0,23.0,William Trollope,1,3,grass,RH Beresford,wimbledon,3
6624,15,1880,first round,1,2.0,18.0,HR Hallward,0,3,grass,HC Jenkins,wimbledon,3
6946,16,1880,first round,1,4.0,18.0,Frank Benson,0,3,grass,Arthur Tabor,wimbledon,3
7267,17,1880,first round,1,8.0,18.0,JE Eddis,0,3,grass,Herbert Lawford,wimbledon,3
7477,18,1880,first round,1,3.0,18.0,F Harold,0,3,grass,WB Monement,wimbledon,3
7681,19,1880,first round,1,9.0,18.0,Kaye Butterworth,0,3,grass,Richard Richardson,wimbledon,3
7883,20,1880,first round,1,13.0,18.0,ML Hallward,0,3,grass,Kenneth McAlpine,wimbledon,3
8091,21,1880,first round,1,4.0,18.0,H Daly,0,3,grass,F Durant,wimbledon,3
8498,23,1880,first round,1,6.0,18.0,JC MaxwellScott,0,3,grass,MG MacNamara,wimbledon,3
8700,24,1880,first round,1,18.0,23.0,BF Buxton,1,3,grass,WH dEsterre,wimbledon,3
8900,25,1880,first round,1,7.0,18.0,Montague Hankey,0,3,grass,RR Farrer,wimbledon,3
9103,26,1880,first round,1,18.0,22.0,William Marshall,1,3,grass,WE Hansell,wimbledon,3
9304,27,1880,first round,1,18.0,22.0,BT Cotton,1,3,grass,C Wallis,wimbledon,3
9507,28,1880,first round,1,12.0,18.0,WF Clerke,0,3,grass,Charles Heathcote,wimbledon,3
9708,29,1880,first round,1,15.0,23.0,N Womersley,1,3,grass,George Butterworth,wimbledon,3
9908,30,1880,first round,1,7.0,18.0,William Taylor,0,3,grass,J Devans,wimbledon,3
18,1,1880,second round,2,6.0,18.0,D Womersley,0,3,grass,W Renshaw,wimbledon,3
886,2,1880,second round,2,11.0,18.0,F Monement,0,3,grass,O Woodhouse,wimbledon,3
1618,3,1880,second round,2,7.0,18.0,CH Evill,0,3,grass,HJ Medleycott,wimbledon,3
2226,4,1880,second round,2,14.0,20.0,CD Heatley,1,3,grass,E Renshaw,wimbledon,3
3290,6,1880,second round,2,4.0,18.0,CL Stephen,0,3,grass,G Montgomerie,wimbledon,3
3755,7,1880,second round,2,7.0,18.0,RH Beresford,0,3,grass,GS MurrayHill,wimbledon,3
4215,8,1880,second round,2,13.0,21.0,A Tabor,1,3,grass,HC Jenkins,wimbledon,3
4661,9,1880,second round,2,4.0,18.0,WB Monement,0,3,grass,H Lawford,wimbledon,3
4996,10,1880,second round,2,4.0,18.0,K McAlpine,0,3,grass,R Richardson,wimbledon,3
5327,11,1880,second round,2,11.0,18.0,Frederick Crowder,0,3,grass,F Durant,wimbledon,3
5656,12,1880,second round,2,13.0,20.0,MG MacNamara,1,3,grass,WH dEsterre,wimbledon,3
5980,13,1880,second round,2,17.0,26.0,WE Hansell,2,3,grass,RR Farrer,wimbledon,3
6304,14,1880,second round,2,15.0,20.0,C Wallis,1,3,grass,C Heathcote,wimbledon,3
6625,15,1880,second round,2,16.0,22.0,J Devans,1,3,grass,G Butterworth,wimbledon,3
20,1,1880,third round,3,16.0,23.0,W Renshaw,1,3,grass,O Woodhouse,wimbledon,3
888,2,1880,third round,3,9.0,18.0,HJ Medleycott,0,3,grass,JE Renshaw,wimbledon,3
1619,3,1880,third round,3,2.0,18.0,CJ Cole,0,3,grass,G Montgomerie,wimbledon,3
2227,4,1880,third round,3,10.0,18.0,GS MurrayHill,0,3,grass,HC Jenkins,wimbledon,3
2821,5,1880,third round,3,24.0,19.0,R Richardson,2,3,grass,H Lawford,wimbledon,3
3291,6,1880,third round,3,18.0,28.0,F Durant,2,3,grass,WH dEsterre,wimbledon,3
3756,7,1880,third round,3,10.0,23.0,C Heathcote,1,3,grass,RR Farrer,wimbledon,3
17,1,1880,quarterfinals,5,12.0,21.0,Ernest Renshaw,1,3,grass,Otway Woodhouse,wimbledon,3
885,2,1880,quarterfinals,5,20.0,25.0,HC Jenkins,2,3,grass,George Montgomerie,wimbledon,3
1617,3,1880,quarterfinals,5,4.0,18.0,WH dEsterre,0,3,grass,Herbert Lawford,wimbledon,3
2225,4,1880,quarterfinals,5,16.0,19.0,RR Farrer,1,3,grass,George Butterworth,wimbledon,3
19,1,1880,semifinals,6,20.0,25.0,George Montgomerie,2,3,grass,Otway Woodhouse,wimbledon,3
887,2,1880,semifinals,6,8.0,18.0,George Butterworth,0,3,grass,Herbert Lawford,wimbledon,3
15,1,1880,final,7,9.0,18.0,Otway Woodhouse,0,3,grass,Herbert Lawford,wimbledon,3
22,1,1881,first round,1,7.0,18.0,Harry Grove,0,3,grass,MD Buckingham,wimbledon,3
889,2,1881,first round,1,9.0,18.0,HH Wilkes,0,3,grass,Otway Woodhouse,wimbledon,3
1620,3,1881,first round,1,0.0,11.0,WM Bird,0,2,grass,Wilfred Milne,wimbledon,3
2228,4,1881,first round,1,18.0,20.0,RW Braddell,1,3,grass,Castor,wimbledon,3
2822,5,1881,first round,1,2.0,18.0,WJ Down,0,3,grass,William Renshaw,wimbledon,3
3292,6,1881,first round,1,18.0,22.0,Arthur Stanley,1,3,grass,Thomas Gallwey,wimbledon,3
4662,9,1881,first round,1,6.0,18.0,F Pollock,0,3,grass,CB Russell,wimbledon,3
5328,11,1881,first round,1,4.0,18.0,JM Thornycroft,0,3,grass,WH Edward,wimbledon,3
5657,12,1881,first round,1,5.0,18.0,CJ Cole,0,3,grass,Herbert Lawford,wimbledon,3
5981,13,1881,first round,1,18.0,23.0,ES Saxton,2,3,grass,GS MurrayHill,wimbledon,3
6305,14,1881,first round,1,10.0,18.0,C Wallis,0,3,grass,A Keyser,wimbledon,3
6626,15,1881,first round,1,15.0,20.0,HR Hallward,1,3,grass,Minden Fenwick,wimbledon,3
6947,16,1881,first round,1,17.0,20.0,ML Hallward,1,3,grass,Arthur Chitty,wimbledon,3
7268,17,1881,first round,1,10.0,14.0,B Follett,1,2,grass,Henry Mulholland,wimbledon,3
7478,18,1881,first round,1,10.0,18.0,FH Stokes,0,3,grass,WH Darby,wimbledon,3
7884,20,1881,first round,1,11.0,18.0,J Wilkes,0,3,grass,Pollux,wimbledon,3
8092,21,1881,first round,1,8.0,18.0,Galbraith Horn,0,3,grass,Ernest Renshaw,wimbledon,3
8296,22,1881,first round,1,18.0,19.0,HB Porter,1,3,grass,JC MaxwellScott,wimbledon,3
8499,23,1881,first round,1,7.0,18.0,William Taylor,0,3,grass,MG MacNamara,wimbledon,3
8701,24,1881,first round,1,3.0,18.0,AH Cochran,0,3,grass,Richard Richardson,wimbledon,3
24,1,1881,second round,2,1.0,18.0,MD Buckingham,0,3,grass,O Woodhouse,wimbledon,3
891,2,1881,second round,2,14.0,23.0,Castor,1,3,grass,W Milne,wimbledon,3
1622,3,1881,second round,2,2.0,18.0,T Gallwey,0,3,grass,W Renshaw,wimbledon,3
2230,4,1881,second round,2,1.0,18.0,C Cheales,0,3,grass,E Lubbock,wimbledon,3
2823,5,1881,second round,2,7.0,18.0,CB Russell,0,3,grass,HC Jenkins,wimbledon,3
3293,6,1881,second round,2,7.0,18.0,WH Edward,0,3,grass,H Lawford,wimbledon,3
3757,7,1881,second round,2,21.0,25.0,A Keyser,2,3,grass,GS MurrayHill,wimbledon,3
4216,8,1881,second round,2,21.0,20.0,A Chitty,2,3,grass,M Fenwick,wimbledon,3
4663,9,1881,second round,2,10.0,18.0,H Mulholland,0,3,grass,WH Darby,wimbledon,3
4997,10,1881,second round,2,9.0,12.0,FL Rawson,0,2,grass,Pollux,wimbledon,3
5329,11,1881,second round,2,3.0,18.0,JC MaxwellScott,0,3,grass,E Renshaw,wimbledon,3
5658,12,1881,second round,2,5.0,18.0,MG MacNamara,0,3,grass,R Richardson,wimbledon,3
26,1,1881,third round,3,2.0,18.0,W Milne,0,3,grass,O Woodhouse,wimbledon,3
892,2,1881,third round,3,11.0,18.0,E Lubbock,0,3,grass,W Renshaw,wimbledon,3
1623,3,1881,third round,3,7.0,18.0,HC Jenkins,0,3,grass,H Lawford,wimbledon,3
2231,4,1881,third round,3,17.0,20.0,M Fenwick,1,3,grass,GS MurrayHill,wimbledon,3
2824,5,1881,third round,3,19.0,18.0,Pollux,1,3,grass,WH Darby,wimbledon,3
3294,6,1881,third round,3,20.0,20.0,E Renshaw,1,3,grass,R Richardson,wimbledon,3
23,1,1881,quarterfinals,5,13.0,22.0,Otway Woodhouse,1,3,grass,William Renshaw,wimbledon,3
890,2,1881,quarterfinals,5,2.0,18.0,GS MurrayHill,0,3,grass,Herbert Lawford,wimbledon,3
1621,3,1881,quarterfinals,5,5.0,18.0,WH Darby,0,3,grass,Richard Richardson,wimbledon,3
2229,4,1881,quarterfinals,5,13.0,22.0,O Woodhouse,1,3,grass,W Renshaw,wimbledon,3
25,1,1881,semifinals,6,20.0,24.0,Herbert Lawford,2,3,grass,William Renshaw,wimbledon,3
21,1,1881,final,7,9.0,18.0,Richard Richardson,0,3,grass,William Renshaw,wimbledon,3
28,1,1882,first round,1,2.0,18.0,Claude Farrer,0,3,grass,Ernest Browne,wimbledon,3
893,2,1882,first round,1,2.0,18.0,WM Tatham,0,3,grass,Ernest Renshaw,wimbledon,3
1624,3,1882,first round,1,14.0,22.0,George Montgomerie,1,3,grass,PG von Donop,wimbledon,3
2232,4,1882,first round,1,21.0,26.0,George Arbuthnot,2,3,grass,Humphrey Berkeley,wimbledon,3
2825,5,1882,first round,1,15.0,27.0,Herbert Chipp,2,3,grass,Arthur Stanley,wimbledon,3
3295,6,1882,first round,1,9.0,18.0,B Follett,0,3,grass,Herbert Lawford,wimbledon,3
3758,7,1882,first round,1,13.0,18.0,HF Wilkes,0,3,grass,Herbert Wilberforce,wimbledon,3
4664,9,1882,first round,1,14.0,21.0,Wilfred Milne,1,3,grass,FA Fairlie,wimbledon,3
4998,10,1882,first round,1,8.0,18.0,FJ Ridgway,0,3,grass,Otway Woodhouse,wimbledon,3
5330,11,1882,first round,1,17.0,28.0,Harry Grove,2,3,grass,George Butterworth,wimbledon,3
5659,12,1882,first round,1,2.0,18.0,Donald Stewart,0,3,grass,Richard Richardson,wimbledon,3
5982,13,1882,first round,1,9.0,18.0,CJ Michod,0,3,grass,Galbraith Horn,wimbledon,3
6306,14,1882,first round,1,12.0,18.0,Francis Govett,0,3,grass,Frank Benson,wimbledon,3
30,1,1882,second round,2,23.0,23.0,E Browne,2,3,grass,E Renshaw,wimbledon,3
1626,3,1882,second round,2,6.0,18.0,A Stanley,0,3,grass,H Lawford,wimbledon,3
2233,4,1882,second round,2,7.0,18.0,R Hyde Clarke,0,3,grass,H Wilberforce,wimbledon,3
2826,5,1882,second round,2,13.0,18.0,FA Fairlie,0,3,grass,O Woodhouse,wimbledon,3
3296,6,1882,second round,2,9.0,18.0,G Butterworth,0,3,grass,R Richardson,wimbledon,3
3759,7,1882,second round,2,25.0,22.0,G Horn,2,3,grass,F Benson,wimbledon,3
29,1,1882,quarterfinals,5,10.0,18.0,H Berkeley,0,3,grass,E Renshaw,wimbledon,3
894,2,1882,quarterfinals,5,12.0,18.0,H Wilberforce,0,3,grass,H Lawford,wimbledon,3
1625,3,1882,quarterfinals,5,3.0,18.0,O Woodhouse,0,3,grass,R Richardson,wimbledon,3
31,1,1882,semifinals,6,18.0,25.0,Herbert Lawford,2,3,grass,Ernest Renshaw,wimbledon,3
895,2,1882,semifinals,6,4.0,18.0,Frank Benson,0,3,grass,Richard Richardson,wimbledon,3
27,1,1882,final,7,17.0,21.0,Richard Richardson,1,3,grass,Ernest Renshaw,wimbledon,3
896,2,1883,first round,1,5.0,18.0,Harry Barlow,0,3,grass,John Hartley,wimbledon,3
1627,3,1883,first round,1,22.0,24.0,Harry Grove,2,3,grass,Donald Stewart,wimbledon,3
2234,4,1883,first round,1,11.0,20.0,B Follett,1,3,grass,Claude Farrer,wimbledon,3
2827,5,1883,first round,1,18.0,24.0,F Warren,2,3,grass,FJ Ridgway,wimbledon,3
3297,6,1883,first round,1,20.0,21.0,Wilfred Milne,2,3,grass,William Taylor,wimbledon,3
3760,7,1883,first round,1,22.0,27.0,Otway Woodhouse,2,3,grass,LG Campbell,wimbledon,3
4665,9,1883,first round,1,20.0,26.0,Herbert Lawford,2,3,grass,Ernest Renshaw,wimbledon,3
4999,10,1883,first round,1,4.0,18.0,HH Playford,0,3,grass,George Montgomerie,wimbledon,3
5331,11,1883,first round,1,25.0,26.0,Teddy Williams,2,3,grass,Charles Grinstead,wimbledon,3
34,1,1883,second round,2,17.0,22.0,J Hartley,1,3,grass,H Wilberforce,wimbledon,3
898,2,1883,second round,2,12.0,18.0,C Farrer,0,3,grass,D Stewart,wimbledon,3
1629,3,1883,second round,2,5.0,18.0,FJ Ridgway,0,3,grass,W Taylor,wimbledon,3
2235,4,1883,second round,2,15.0,19.0,LG Campbell,1,3,grass,MS Constable,wimbledon,3
2828,5,1883,second round,2,9.0,18.0,G Montgomerie,0,3,grass,E Renshaw,wimbledon,3
3298,6,1883,second round,2,16.0,23.0,Richard Richardson,1,3,grass,C Grinstead,wimbledon,3
33,1,1883,quarterfinals,5,26.0,26.0,H Wilberforce,2,3,grass,D Stewart,wimbledon,3
897,2,1883,quarterfinals,5,23.0,27.0,MS Constable,2,3,grass,W Taylor,wimbledon,3
1628,3,1883,quarterfinals,5,10.0,18.0,C Grinstead,0,3,grass,E Renshaw,wimbledon,3
35,1,1883,semifinals,6,4.0,18.0,William Taylor,0,3,grass,Donald Stewart,wimbledon,3
32,1,1883,final,7,11.0,18.0,Donald Stewart,1,3,grass,Ernest Renshaw,wimbledon,3
37,1,1884,first round,1,,,,,,,,wimbledon,3
899,2,1884,first round,1,,,,,,,,wimbledon,3
1630,3,1884,first round,1,,,,,,,,wimbledon,3
2236,4,1884,first round,1,1.0,12.0,E Bushell,0,2,grass,FM Winckworth,wimbledon,3
2829,5,1884,first round,1,4.0,18.0,B Follett,0,3,grass,Arthur Stanley,wimbledon,3
3299,6,1884,first round,1,3.0,12.0,B Wallis,0,2,grass,M Leslie,wimbledon,3
3761,7,1884,first round,1,20.0,28.0,CJ CramerRoberts,2,3,grass,AWM White,wimbledon,3
4217,8,1884,first round,1,9.0,19.0,Donald Stewart,0,3,grass,Ernest Browne,wimbledon,3
4666,9,1884,first round,1,20.0,26.0,FL Rawson,2,3,grass,Patrick BowesLyon,wimbledon,3
5000,10,1884,first round,1,5.0,18.0,Ernest Wigram,0,3,grass,William Taylor,wimbledon,3
5332,11,1884,first round,1,4.0,18.0,Arthur Rives,0,3,grass,Herbert Chipp,wimbledon,3
5660,12,1884,first round,1,4.0,18.0,FJ Ridgway,0,3,grass,James Dwight,wimbledon,3
5983,13,1884,first round,1,9.0,19.0,Herbert Wilberforce,0,3,grass,Herbert Lawford,wimbledon,3
39,1,1884,second round,2,22.0,24.0,O Milne,1,3,grass,W Milne,wimbledon,3
901,2,1884,second round,2,7.0,18.0,B Cokayne,0,3,grass,E Renshaw,wimbledon,3
1632,3,1884,second round,2,18.0,24.0,A Stanley,1,3,grass,C Grinstead,wimbledon,3
2237,4,1884,second round,2,1.0,18.0,AWM White,0,3,grass,E Browne,wimbledon,3
2830,5,1884,second round,2,28.0,28.0,P BowesLyon,2,3,grass,W Taylor,wimbledon,3
3300,6,1884,second round,2,21.0,24.0,J Dwight,2,3,grass,H Chipp,wimbledon,3
3762,7,1884,second round,2,4.0,18.0,RC Thompson,0,3,grass,H Lawford,wimbledon,3
38,1,1884,quarterfinals,5,,,,,,,,wimbledon,3
900,2,1884,quarterfinals,5,,,,,,,,wimbledon,3
1631,3,1884,quarterfinals,5,,,,,,,,wimbledon,3
40,1,1884,semifinals,6,,,,,,,,wimbledon,3
902,2,1884,semifinals,6,,,,,,,,wimbledon,3
36,1,1884,final,7,,,,,,,,wimbledon,3
42,1,1885,first round,1,,,,,,,,wimbledon,3
903,2,1885,first round,1,,,,,,,,wimbledon,3
1633,3,1885,first round,1,5.0,18.0,JC Rogers,0,3,grass,MG MacNamara,wimbledon,3
2238,4,1885,first round,1,5.0,18.0,G Kerr,0,3,grass,Ernest Browne,wimbledon,3
2831,5,1885,first round,1,9.0,18.0,E Cotton,0,3,grass,James Dwight,wimbledon,3
3301,6,1885,first round,1,17.0,25.0,G Montgomerie,2,3,grass,William Taylor,wimbledon,3
3763,7,1885,first round,1,4.0,18.0,GN Stenhouse,0,3,grass,Harry Grove,wimbledon,3
44,1,1885,second round,2,8.0,18.0,W Milne,0,3,grass,Herbert Chipp,wimbledon,3
905,2,1885,second round,2,3.0,18.0,CP Triscott,0,3,grass,E Renshaw,wimbledon,3
1635,3,1885,second round,2,8.0,18.0,Ernest Meers,0,3,grass,MG MacNamara,wimbledon,3
2240,4,1885,second round,2,16.0,21.0,Ernest Lewis,1,3,grass,E Browne,wimbledon,3
2832,5,1885,second round,2,2.0,18.0,Archibald Thomson,0,3,grass,J Dwight,wimbledon,3
