,match,year,round,round_number,games_loser,games_winner,loser,sets_loser,sets_winner,surface,winner,tourney_name,tourney_order
1,1,1877,first round,1,5.0,18.0,Henry T Gillson,0,3,grass,Spencer Gore,wimbledon,3
875,2,1877,first round,1,14.0,21.0,Robert Dalby,1,3,grass,Montague Hankey,wimbledon,3
1606,3,1877,first round,1,5.0,18.0,John William  Trist,0,3,grass,John Baker,wimbledon,3
2813,5,1877,first round,1,9.0,18.0,H Wheeler,0,3,grass,Lestocq Robert Erskine,wimbledon,3
3284,6,1877,first round,1,11.0,18.0,Henry Soden,0,3,grass,J Lambert,wimbledon,3
3749,7,1877,first round,1,4.0,18.0,George Nicole,0,3,grass,Bayly Akroyd,wimbledon,3
4209,8,1877,first round,1,8.0,18.0,William Marshall,0,3,grass,Frederick D Jackson,wimbledon,3
4656,9,1877,first round,1,3.0,18.0,Major Battye,0,3,grass,Frederick Oliver,wimbledon,3
4991,10,1877,first round,1,20.0,22.0,Capt Grimston,2,3,grass,Julian Marshall,wimbledon,3
5323,11,1877,first round,1,5.0,18.0,Geoffrey Buxton,0,3,grass,Charles Heathcote,wimbledon,3
3,1,1877,second round,2,13.0,22.0,M Hankey,1,3,grass,S Gore,wimbledon,3
877,2,1877,second round,2,14.0,22.0,J Baker,1,3,grass,FN Langham,wimbledon,3
1608,3,1877,second round,2,3.0,12.0,J Lambert,0,2,grass,R Erskine,wimbledon,3
2215,4,1877,second round,2,8.0,18.0,BN Akroyd,0,3,grass,W Marshall,wimbledon,3
2814,5,1877,second round,2,21.0,26.0,FW Oliver,2,3,grass,J Marshall,wimbledon,3
2,1,1877,quarterfinals,5,12.0,23.0,FN Langham,1,3,grass,S Gore,wimbledon,3
876,2,1877,quarterfinals,5,16.0,23.0,R Erskine,1,3,grass,W Marshall,wimbledon,3
1607,3,1877,quarterfinals,5,11.0,18.0,J Marshall,0,3,grass,C Heathcote,wimbledon,3
4,1,1877,semifinals,6,9.0,18.0,Charles Heathcote,0,3,grass,Spencer Gore,wimbledon,3
0,1,1877,final,7,7.0,18.0,William Marshall,0,3,grass,Spencer Gore,wimbledon,3
6,1,1878,first round,1,5.0,18.0,AW Nicholson,0,3,grass,Robert Erskine,wimbledon,3
1609,3,1878,first round,1,15.0,24.0,E Bates,2,3,grass,FW Porter,wimbledon,3
2216,4,1878,first round,1,5.0,18.0,Alexander Crichton,0,3,grass,Seton Montgomerie,wimbledon,3
2815,5,1878,first round,1,24.0,25.0,George Tabor,2,3,grass,George Montgomerie,wimbledon,3
3285,6,1878,first round,1,5.0,18.0,F Pollock,0,3,grass,Charles Hamilton,wimbledon,3
3750,7,1878,first round,1,6.0,18.0,HTW Wheeler,0,3,grass,Charles Heathcote,wimbledon,3
4210,8,1878,first round,1,7.0,20.0,Gwynne James,1,3,grass,Edmond Brackenbury,wimbledon,3
4992,10,1878,first round,1,5.0,18.0,J Cunningham,0,3,grass,Capt Grimston,wimbledon,3
5324,11,1878,first round,1,2.0,12.0,HS Cotton,0,2,grass,ER Seymour,wimbledon,3
5652,12,1878,first round,1,0.0,18.0,C Wallis,0,3,grass,Arthur Tabor,wimbledon,3
