,match,year,round,round_number,winner,loser,sets_winner,sets_loser,games_winner,games_loser,surface,tourney_name,tourney_order
1,1,1904,first round,1,Hilda Lane,CB Bell,2,0,12.0,1.0,grass,wimbledon,3
707,2,1904,first round,1,Edith Johnson,M Taplin,2,1,18.0,14.0,grass,wimbledon,3
1308,3,1904,first round,1,Ruth Winch,Ellen Mary StawellBrown,2,1,17.0,14.0,grass,wimbledon,3
2304,5,1904,first round,1,Mabel Squire,M Banks,2,0,12.0,2.0,grass,wimbledon,3
2697,6,1904,first round,1,Dora Boothby,ME Brown,2,0,12.0,5.0,grass,wimbledon,3
3092,7,1904,first round,1,Winifred Longhurst,L Flemmich,2,0,12.0,1.0,grass,wimbledon,3
3483,8,1904,first round,1,Aurea Farrington,Mrs Albury,2,0,12.0,5.0,grass,wimbledon,3
3873,9,1904,first round,1,Blanche Hillyard,K Kentish,2,0,12.0,2.0,grass,wimbledon,3
709,2,1904,second round,2,Beryl Tulloch,Mrs Macaulay,2,1,14.0,6.0,grass,wimbledon,3
1808,4,1904,second round,2,Nadine Masson,S Benton,2,0,12.0,5.0,grass,wimbledon,3
2305,5,1904,second round,2,Violet Pinckney,MarieLouise de Pfeffel,2,0,12.0,3.0,grass,wimbledon,3
2698,6,1904,second round,2,Alice Greene,H Lane,2,1,17.0,12.0,grass,wimbledon,3
3093,7,1904,second round,2,R Winch,E Johnson,2,0,12.0,1.0,grass,wimbledon,3
3874,9,1904,second round,2,W Longhurst,D Boothby,2,0,14.0,8.0,grass,wimbledon,3
4162,10,1904,second round,2,B Hillyard,A Farrington,2,0,12.0,1.0,grass,wimbledon,3
4450,11,1904,second round,2,Ethel Thomson,L Ripley,2,0,12.0,1.0,grass,wimbledon,3
4736,12,1904,second round,2,Agnes Morton,Henrietta Horncastle,2,0,12.0,1.0,grass,wimbledon,3
5021,13,1904,second round,2,Margherita de Robiglio,Constance Wilson,1,1,12.0,9.0,grass,wimbledon,3
5868,16,1904,second round,2,EE Sargeant,AG Ransome,2,1,13.0,15.0,grass,wimbledon,3
4,1,1904,third round,3,C Sterry,B Tulloch,2,0,12.0,4.0,grass,wimbledon,3
711,2,1904,third round,3,E Greville,N Masson,2,0,12.0,1.0,grass,wimbledon,3
1310,3,1904,third round,3,A Greene,V Pinckney,2,1,15.0,11.0,grass,wimbledon,3
1809,4,1904,third round,3,R Winch,M Squire,2,0,12.0,6.0,grass,wimbledon,3
2306,5,1904,third round,3,W Longhurst,B Hillyard,2,0,12.0,0.0,grass,wimbledon,3
2699,6,1904,third round,3,A Morton,E Thomson,2,1,18.0,18.0,grass,wimbledon,3
3094,7,1904,third round,3,C Wilson,A Mooijaart,2,0,12.0,4.0,grass,wimbledon,3
3484,8,1904,third round,3,EL Bosworth,EE Sargeant,2,0,13.0,7.0,grass,wimbledon,3
2,1,1904,quarterfinals,5,Charlotte Sterry,Edith Greville,2,0,17.0,13.0,grass,wimbledon,3
708,2,1904,quarterfinals,5,Alice Greene,Ruth Winch,2,0,12.0,8.0,grass,wimbledon,3
1309,3,1904,quarterfinals,5,Agnes Morton,Winifred Longhurst,2,0,12.0,5.0,grass,wimbledon,3
1807,4,1904,quarterfinals,5,Constance Wilson,EL Bosworth,2,0,12.0,7.0,grass,wimbledon,3
3,1,1904,semifinals,6,Charlotte Sterry,Alice Greene,2,0,12.0,3.0,grass,wimbledon,3
710,2,1904,semifinals,6,Agnes Morton,Constance Wilson,2,1,17.0,16.0,grass,wimbledon,3
0,1,1904,final,7,Charlotte Sterry,Agnes Morton,2,0,12.0,6.0,grass,wimbledon,3
712,2,1905,first round,1,May Sutton,N Meyer,2,0,12.0,0.0,grass,wimbledon,3
1311,3,1905,first round,1,Ellen Mary StawellBrown,Aurea Farrington,2,0,12.0,4.0,grass,wimbledon,3
1810,4,1905,first round,1,Mildred Coles,E Flemmich,2,0,12.0,3.0,grass,wimbledon,3
2307,5,1905,first round,1,EE Sargeant,AG Ransome,2,0,12.0,1.0,grass,wimbledon,3
3875,9,1905,first round,1,L Ripley,Mrs Albury,2,1,17.0,10.0,grass,wimbledon,3
4163,10,1905,first round,1,Hilda Lane,E Smith,2,0,12.0,5.0,grass,wimbledon,3
4451,11,1905,first round,1,Blanche Hillyard,M Banks,2,0,12.0,0.0,grass,wimbledon,3
4737,12,1905,first round,1,LH Paterson,M Taplin,2,0,12.0,4.0,grass,wimbledon,3
5022,13,1905,first round,1,Gertrude Houselander,ME Brown,2,0,12.0,4.0,grass,wimbledon,3
1812,4,1905,second round,2,Agnes Morton,Mrs Macaulay,2,0,12.0,3.0,grass,wimbledon,3
2308,5,1905,second round,2,Winifred Longhurst,D Spencer,2,0,12.0,2.0,grass,wimbledon,3
2700,6,1905,second round,2,M Sutton,Ellen Mary StawellBrown,2,0,12.0,4.0,grass,wimbledon,3
3095,7,1905,second round,2,M Coles,EE Sargeant,2,0,13.0,8.0,grass,wimbledon,3
3485,8,1905,second round,2,E Thomson,Mrs PM Morton,2,0,12.0,2.0,grass,wimbledon,3
3876,9,1905,second round,2,B Tulloch,L Ripley,2,0,13.0,8.0,grass,wimbledon,3
4164,10,1905,second round,2,B Hillyard,H Lane,2,0,12.0,5.0,grass,wimbledon,3
4452,11,1905,second round,2,LH Paterson,G Houselander,2,1,22.0,17.0,grass,wimbledon,3
4738,12,1905,second round,2,Dora Boothby,L Flemmich,2,0,12.0,6.0,grass,wimbledon,3
5304,14,1905,second round,2,BM Holder,Edith Johnson,2,0,12.0,4.0,grass,wimbledon,3
5587,15,1905,second round,2,Mabel Squire,D Taplin,2,0,12.0,2.0,grass,wimbledon,3
5869,16,1905,second round,2,Constance Wilson,A Mooijaart,2,0,12.0,2.0,grass,wimbledon,3
8,1,1905,third round,3,HI Harper,M ONeill,2,0,12.0,4.0,grass,wimbledon,3
715,2,1905,third round,3,A Morton,A Greene,2,0,13.0,9.0,grass,wimbledon,3
1313,3,1905,third round,3,M Sutton,W Longhurst,2,0,12.0,4.0,grass,wimbledon,3
1813,4,1905,third round,3,E Thomson,M Coles,2,0,12.0,2.0,grass,wimbledon,3
2309,5,1905,third round,3,B Hillyard,B Tulloch,2,1,19.0,13.0,grass,wimbledon,3
2701,6,1905,third round,3,D Boothby,LH Paterson,2,1,15.0,12.0,grass,wimbledon,3
3096,7,1905,third round,3,BM Holder,CHE Meyer,2,1,16.0,16.0,grass,wimbledon,3
6,1,1905,quarterfinals,5,Agnes Morton,HI Harper,2,0,12.0,6.0,grass,wimbledon,3
713,2,1905,quarterfinals,5,May Sutton,Ethel Thomson,2,0,14.0,7.0,grass,wimbledon,3
1312,3,1905,quarterfinals,5,Blanche Hillyard,Dora Boothby,2,0,12.0,5.0,grass,wimbledon,3
1811,4,1905,quarterfinals,5,Constance Wilson,BM Holder,2,0,12.0,2.0,grass,wimbledon,3
7,1,1905,semifinals,6,May Sutton,Agnes Morton,2,0,12.0,4.0,grass,wimbledon,3
714,2,1905,semifinals,6,Constance Wilson,Blanche Hillyard,2,1,22.0,18.0,grass,wimbledon,3
