,match,year,round,round_number,games_loser,games_winner,loser,sets_loser,sets_winner,surface,winner,tourney_name,tourney_order
2977,6,1882,first round,1,13.0,13.0,CW Brooks,1,2,grass,AB Malcolmson,usopen,4
4169,9,1882,first round,1,4.0,12.0,Boit,0,2,grass,C Clark,usopen,4
4747,11,1882,first round,1,1.0,12.0,T Longwood,0,2,grass,A Rives,usopen,4
5038,12,1882,first round,1,4.0,12.0,XA LeRoy,0,2,grass,Kneeland,usopen,4
5326,13,1882,first round,1,1.0,12.0,WH Boardman,0,2,grass,J Dwight,usopen,4
5616,14,1882,first round,1,12.0,17.0,FM Carryl,1,2,grass,GC Allen,usopen,4
5902,15,1882,first round,1,3.0,12.0,XA Baillie,0,2,grass,J Clark,usopen,4
6182,16,1882,first round,1,1.0,12.0,WP Metcalfe,0,2,grass,XB Baillie,usopen,4
7005,20,1882,first round,1,4.0,12.0,XB LeRoy,0,2,grass,A Smith,usopen,4
8,1,1882,second round,2,5.0,12.0,WE Glyn,0,2,grass,R Sears,usopen,4
827,2,1882,second round,2,8.0,14.0,WVS Thorne,1,2,grass,RF Conover,usopen,4
1504,3,1882,second round,2,0.0,12.0,AB Malcolmson,0,2,grass,J Rankine,usopen,4
2041,4,1882,second round,2,1.0,12.0,Rathbone,0,2,grass,HW Powell,usopen,4
2575,5,1882,second round,2,6.0,12.0,RS Codman,0,2,grass,C Clark,usopen,4
2978,6,1882,second round,2,12.0,16.0,Kneeland,1,2,grass,A Rives,usopen,4
3771,8,1882,second round,2,3.0,12.0,XB Baillie,0,2,grass,J Clark,usopen,4
4170,9,1882,second round,2,5.0,12.0,F Eldridge,0,2,grass,C Nightingale,usopen,4
4459,10,1882,second round,2,2.0,12.0,A Smith,0,2,grass,EH Gray,usopen,4
9,1,1882,third round,3,5.0,12.0,RF Conover,0,2,grass,R Sears,usopen,4
829,2,1882,third round,3,15.0,17.0,HW Powell,1,2,grass,J Rankine,usopen,4
1505,3,1882,third round,3,10.0,14.0,A Rives,1,2,grass,C Clark,usopen,4
2042,4,1882,third round,3,1.0,12.0,J Clark,0,2,grass,J Dwight,usopen,4
2576,5,1882,third round,3,8.0,12.0,C Nightingale,0,2,grass,EH Gray,usopen,4
7,1,1882,quarterfinals,5,4.0,12.0,James Rankine,0,2,grass,Richard Sears,usopen,4
2040,4,1882,quarterfinals,5,4.0,12.0,J Rankine,0,2,grass,R Sears,usopen,4
828,2,1882,semifinals,6,5.0,12.0,Edward Gray,0,2,grass,Clarence Clark,usopen,4
5,1,1882,final,7,5.0,18.0,Clarence Clark,0,3,grass,Richard Sears,usopen,4
11,1,1883,first round,1,12.0,16.0,HA Taylor,1,2,grass,C Farnum,usopen,4
1506,3,1883,first round,1,2.0,12.0,Wharton,0,2,grass,HW Powell,usopen,4
2043,4,1883,first round,1,10.0,12.0,W Gammell,0,2,grass,WH Bucknall,usopen,4
