,match,year,round,round_number,winner,loser,sets_winner,sets_loser,games_winner,games_loser,surface,tourney_name,tourney_order
546,2,1923,semifinals,6,Mall Molesworth,Sylvia Lance,2.0,1.0,17.0,16.0,grass,ausopen,1
4,1,1923,final,7,Mall Molesworth,Esna Boyd,2.0,0.0,13.0,6.0,grass,ausopen,1
9,1,1924,first round,1,Todd,HoddleWrigley,2.0,0.0,12.0,6.0,grass,ausopen,1
547,2,1924,first round,1,Lance,McIver,2.0,0.0,12.0,3.0,grass,ausopen,1
986,3,1924,first round,1,Mrs W T Rowe,Muirhead,2.0,0.0,12.0,1.0,grass,ausopen,1
1685,5,1924,first round,1,Boyd,Thynne,2.0,0.0,12.0,3.0,grass,ausopen,1
1939,6,1924,first round,1,Hack,Salter,2.0,0.0,13.0,8.0,grass,ausopen,1
549,2,1924,second round,2,Le Messurier,Richardson,2.0,0.0,12.0,4.0,grass,ausopen,1
988,3,1924,second round,2,Todd,De Bavay,2.0,0.0,12.0,2.0,grass,ausopen,1
1338,4,1924,second round,2,Lance,Mrs W T Rowe,2.0,0.0,12.0,5.0,grass,ausopen,1
1686,5,1924,second round,2,Boyd,Johnson,2.0,0.0,12.0,2.0,grass,ausopen,1
1940,6,1924,second round,2,Simpson,Hack,2.0,1.0,18.0,15.0,grass,ausopen,1
2192,7,1924,second round,2,Mather,Ferguson,2.0,0.0,16.0,10.0,grass,ausopen,1
2444,8,1924,second round,2,Akhurst,Bere,2.0,1.0,17.0,11.0,grass,ausopen,1
10,1,1924,quarterfinals,5,Kathleen Le Messurier,Mall Molesworth,2.0,1.0,21.0,18.0,grass,ausopen,1
548,2,1924,quarterfinals,5,Sylvia Lance,Marjorie Todd,2.0,1.0,13.0,11.0,grass,ausopen,1
987,3,1924,quarterfinals,5,Esna Boyd,Simpson,2.0,0.0,12.0,2.0,grass,ausopen,1
1337,4,1924,quarterfinals,5,Daphne Akhurst,V Mather,2.0,0.0,12.0,5.0,grass,ausopen,1
11,1,1924,semifinals,6,Sylvia Lance,Kathleen Le Messurier,2.0,0.0,12.0,4.0,grass,ausopen,1
550,2,1924,semifinals,6,Esna Boyd,Daphne Akhurst,2.0,0.0,12.0,5.0,grass,ausopen,1
8,1,1924,final,7,Sylvia Lance,Esna Boyd,2.0,1.0,15.0,13.0,grass,ausopen,1
13,1,1925,first round,1,Meaney,Le Messurier,2.0,1.0,19.0,17.0,grass,ausopen,1
989,3,1925,first round,1,Bickerton,Mrs M Grant,2.0,0.0,13.0,5.0,grass,ausopen,1
1339,4,1925,first round,1,Watson,Paterson,2.0,0.0,16.0,12.0,grass,ausopen,1
1687,5,1925,first round,1,Wilson,Wilkins,2.0,1.0,17.0,13.0,grass,ausopen,1
1941,6,1925,first round,1,M Cox,Valkenburg,2.0,0.0,12.0,2.0,grass,ausopen,1
2193,7,1925,first round,1,Cameron,Smith,2.0,0.0,12.0,6.0,grass,ausopen,1
2445,8,1925,first round,1,Weston,White,2.0,0.0,12.0,3.0,grass,ausopen,1
2693,9,1925,first round,1,Boyd,St George,2.0,0.0,12.0,2.0,grass,ausopen,1
15,1,1925,second round,2,Richardson,Mrs G B Stevens,2.0,0.0,14.0,10.0,grass,ausopen,1
552,2,1925,second round,2,Meaney,Mackie,2.0,0.0,12.0,4.0,grass,ausopen,1
991,3,1925,second round,2,Watson,Bickerton,2.0,1.0,17.0,14.0,grass,ausopen,1
1341,4,1925,second round,2,Akhurst,Wilson,2.0,1.0,16.0,12.0,grass,ausopen,1
1688,5,1925,second round,2,M Cox,Cameron,2.0,1.0,18.0,13.0,grass,ausopen,1
1942,6,1925,second round,2,Boyd,Weston,2.0,0.0,12.0,4.0,grass,ausopen,1
2194,7,1925,second round,2,Knoblanche,Freudenstein,2.0,0.0,12.0,6.0,grass,ausopen,1
2446,8,1925,second round,2,Harper,Woodd,2.0,0.0,12.0,2.0,grass,ausopen,1
14,1,1925,quarterfinals,5,Minnie Richardson,Pattie Meaney,2.0,1.0,13.0,12.0,grass,ausopen,1
551,2,1925,quarterfinals,5,Daphne Akhurst,Jessie Watson,2.0,0.0,12.0,5.0,grass,ausopen,1
990,3,1925,quarterfinals,5,Esna Boyd,Marjorie Cox,2.0,1.0,19.0,13.0,grass,ausopen,1
1340,4,1925,quarterfinals,5,Sylvia Harper,Margaret Knoblanche,2.0,0.0,12.0,2.0,grass,ausopen,1
16,1,1925,semifinals,6,Daphne Akhurst,Minnie Richardson,2.0,0.0,12.0,3.0,grass,ausopen,1
553,2,1925,semifinals,6,Esna Boyd,Sylvia Harper,2.0,0.0,12.0,5.0,grass,ausopen,1
12,1,1925,final,7,Daphne Akhurst,Esna Boyd,2.0,1.0,15.0,16.0,grass,ausopen,1
18,1,1926,first round,1,Richardson,Lillecrapp,2.0,0.0,12.0,5.0,grass,ausopen,1
554,2,1926,first round,1,Mathias,Officer,2.0,0.0,12.0,7.0,grass,ausopen,1
20,1,1926,second round,2,Akhurst,Weston,2.0,0.0,12.0,7.0,grass,ausopen,1
556,2,1926,second round,2,Le Messurier,Taylor,2.0,0.0,12.0,5.0,grass,ausopen,1
993,3,1926,second round,2,Cox,Hooper,2.0,0.0,12.0,2.0,grass,ausopen,1
1343,4,1926,second round,2,Richardson,Mathias,2.0,0.0,12.0,5.0,grass,ausopen,1
1689,5,1926,second round,2,Boyd,Hamilton,2.0,0.0,12.0,2.0,grass,ausopen,1
1943,6,1926,second round,2,OHara Wood,Lawrence,2.0,0.0,13.0,5.0,grass,ausopen,1
2195,7,1926,second round,2,Harper,Bollen,2.0,0.0,12.0,3.0,grass,ausopen,1
2447,8,1926,second round,2,Turner,Menz,2.0,0.0,12.0,7.0,grass,ausopen,1
19,1,1926,quarterfinals,5,Daphne Akhurst,Kathleen Le Messurier,2.0,0.0,13.0,7.0,grass,ausopen,1
555,2,1926,quarterfinals,5,Marjorie Cox,Minnie Richardson,2.0,0.0,12.0,4.0,grass,ausopen,1
992,3,1926,quarterfinals,5,Esna Boyd,Meryl OHara Wood,2.0,0.0,13.0,6.0,grass,ausopen,1
1342,4,1926,quarterfinals,5,Sylvia Harper,Beryl Turner,2.0,0.0,12.0,5.0,grass,ausopen,1
21,1,1926,semifinals,6,Daphne Akhurst,Marjorie Cox,2.0,0.0,12.0,4.0,grass,ausopen,1
557,2,1926,semifinals,6,Esna Boyd,Sylvia Harper,2.0,1.0,15.0,13.0,grass,ausopen,1
17,1,1926,final,7,Daphne Akhurst,Esna Boyd,2.0,0.0,12.0,4.0,grass,ausopen,1
23,1,1927,first round,1,Akhurst,Parsons,2.0,0.0,12.0,3.0,grass,ausopen,1
558,2,1927,first round,1,Weston,De Bavay,2.0,1.0,15.0,12.0,grass,ausopen,1
994,3,1927,first round,1,Toyne,Hopkins,2.0,0.0,12.0,2.0,grass,ausopen,1
1344,4,1927,first round,1,Le Messurier,Bere,2.0,0.0,12.0,2.0,grass,ausopen,1
1690,5,1927,first round,1,HoddleWrigley,St George,2.0,0.0,14.0,8.0,grass,ausopen,1
560,2,1927,second round,2,Turner,Richardson,2.0,0.0,12.0,7.0,grass,ausopen,1
996,3,1927,second round,2,Harper,McKay,2.0,0.0,12.0,0.0,grass,ausopen,1
1346,4,1927,second round,2,Cox,Anthony,2.0,1.0,15.0,11.0,grass,ausopen,1
1691,5,1927,second round,2,Boyd,Stephens,2.0,0.0,12.0,2.0,grass,ausopen,1
1944,6,1927,second round,2,Bellamy,Irving,2.0,0.0,13.0,6.0,grass,ausopen,1
2196,7,1927,second round,2,Bickerton,Toyne,2.0,0.0,12.0,6.0,grass,ausopen,1
2448,8,1927,second round,2,Le Messurier,HoddleWrigley,2.0,0.0,15.0,10.0,grass,ausopen,1
24,1,1927,quarterfinals,5,Beryl Turner,Dorothy Weston,2.0,0.0,12.0,4.0,grass,ausopen,1
559,2,1927,quarterfinals,5,Sylvia Harper,Marjorie Cox,2.0,1.0,13.0,12.0,grass,ausopen,1
995,3,1927,quarterfinals,5,Esna Boyd,Dorothy Bellamy,2.0,0.0,12.0,5.0,grass,ausopen,1
1345,4,1927,quarterfinals,5,Louie Bickerton,Kathleen Le Messurier,2.0,1.0,16.0,12.0,grass,ausopen,1
25,1,1927,semifinals,6,Sylvia Harper,Beryl Turner,2.0,0.0,12.0,2.0,grass,ausopen,1
561,2,1927,semifinals,6,Esna Boyd,Louie Bickerton,2.0,0.0,12.0,4.0,grass,ausopen,1
22,1,1927,final,7,Esna Boyd,Sylvia Harper,2.0,1.0,17.0,10.0,grass,ausopen,1
27,1,1928,first round,1,Kathleen Le Messurier,Edith Freudenstein,2.0,0.0,12.0,0.0,grass,ausopen,1
562,2,1928,first round,1,Sylvia Harper,Floris Conway,2.0,0.0,12.0,5.0,grass,ausopen,1
997,3,1928,first round,1,Esna Boyd,Marjorie Cox,2.0,0.0,13.0,7.0,grass,ausopen,1
29,1,1928,second round,2,Daphne Akhurst,Nell Lloyd,2.0,0.0,12.0,3.0,grass,ausopen,1
564,2,1928,second round,2,Dorothy Weston,Gwen Waterhouse,2.0,0.0,12.0,7.0,grass,ausopen,1
999,3,1928,second round,2,Meryl OHara Wood,Coral Buttsworth,2.0,0.0,12.0,3.0,grass,ausopen,1
1348,4,1928,second round,2,Le Messurier,Harper,2.0,1.0,13.0,12.0,grass,ausopen,1
1692,5,1928,second round,2,Boyd,Molesworth,2.0,0.0,13.0,7.0,grass,ausopen,1
1945,6,1928,second round,2,,,,,,,,ausopen,1
2197,7,1928,second round,2,Pattie Meaney,Dorothy Dingle,2.0,0.0,12.0,3.0,grass,ausopen,1
2449,8,1928,second round,2,Louie Bickerton,Birdie Bond,2.0,0.0,12.0,5.0,grass,ausopen,1
28,1,1928,quarterfinals,5,Daphne Akhurst,Dorothy Weston,2.0,0.0,12.0,3.0,grass,ausopen,1
563,2,1928,quarterfinals,5,Meryl OHara Wood,Kathleen Le Messurier,2.0,1.0,13.0,12.0,grass,ausopen,1
998,3,1928,quarterfinals,5,Esna Boyd,Mall Molesworth,2.0,0.0,13.0,7.0,grass,ausopen,1
1347,4,1928,quarterfinals,5,Louie Bickerton,Pattie Meaney,2.0,1.0,16.0,8.0,grass,ausopen,1
30,1,1928,semifinals,6,Daphne Akhurst,Meryl OHara Wood,2.0,0.0,13.0,7.0,grass,ausopen,1
565,2,1928,semifinals,6,Esna Boyd,Louis Bickerton,2.0,0.0,12.0,5.0,grass,ausopen,1
26,1,1928,final,7,Daphne Akhurst,Esna Boyd,2.0,0.0,13.0,7.0,grass,ausopen,1
32,1,1929,first round,1,Griffiths,Mrs V Mathias,2.0,1.0,16.0,13.0,grass,ausopen,1
34,1,1929,second round,2,Akhurst,Bollen,2.0,0.0,12.0,3.0,grass,ausopen,1
567,2,1929,second round,2,OHara Wood,Lillecrapp,2.0,0.0,12.0,4.0,grass,ausopen,1
1001,3,1929,second round,2,Harper,Lawrence,2.0,0.0,12.0,3.0,grass,ausopen,1
1350,4,1929,second round,2,Molesworth,Griffiths,2.0,0.0,12.0,3.0,grass,ausopen,1
1693,5,1929,second round,2,Bickerton,Menz,2.0,0.0,12.0,1.0,grass,ausopen,1
1946,6,1929,second round,2,Le Messurier,Hocking,2.0,0.0,12.0,4.0,grass,ausopen,1
2198,7,1929,second round,2,Cox,Weston,2.0,0.0,12.0,7.0,grass,ausopen,1
2450,8,1929,second round,2,Hood,Bond,2.0,0.0,18.0,14.0,grass,ausopen,1
33,1,1929,quarterfinals,5,Daphne Akhurst,Meryl OHara Wood,2.0,0.0,12.0,7.0,grass,ausopen,1
566,2,1929,quarterfinals,5,Sylvia Harper,Mall Molesworth,2.0,0.0,12.0,5.0,grass,ausopen,1
1000,3,1929,quarterfinals,5,Louie Bickerton,Kathleen Le Messurier,2.0,0.0,14.0,6.0,grass,ausopen,1
1349,4,1929,quarterfinals,5,Marjorie Cox,Emily Hood,2.0,0.0,12.0,1.0,grass,ausopen,1
35,1,1929,semifinals,6,Daphne Akhurst,Sylvia Harper,2.0,0.0,12.0,4.0,grass,ausopen,1
568,2,1929,semifinals,6,Louie Bickerton,Marjorie Cox,2.0,0.0,12.0,4.0,grass,ausopen,1
31,1,1929,final,7,Daphne Akhurst,Louie Bickerton,2.0,1.0,17.0,10.0,grass,ausopen,1
37,1,1930,first round,1,Bond,Commins,2.0,0.0,12.0,5.0,grass,ausopen,1
569,2,1930,first round,1,Hood,Hall,2.0,1.0,19.0,19.0,grass,ausopen,1
1002,3,1930,first round,1,Bickerton,Muirhead,2.0,0.0,12.0,2.0,grass,ausopen,1
1351,4,1930,first round,1,Hattersley,Murdoch,2.0,1.0,22.0,19.0,grass,ausopen,1
39,1,1930,second round,2,Akhurst,McGrath,2.0,0.0,12.0,3.0,grass,ausopen,1
571,2,1930,second round,2,Le Messurier,Anthony,2.0,0.0,12.0,4.0,grass,ausopen,1
1004,3,1930,second round,2,Cox,Smith,2.0,0.0,15.0,7.0,grass,ausopen,1
1353,4,1930,second round,2,Hood,Bond,2.0,0.0,12.0,8.0,grass,ausopen,1
1694,5,1930,second round,2,Bickerton,Hattersley,2.0,0.0,12.0,6.0,grass,ausopen,1
1947,6,1930,second round,2,Toyne,Price,2.0,0.0,13.0,8.0,grass,ausopen,1
2199,7,1930,second round,2,Harper,Weston,2.0,0.0,12.0,3.0,grass,ausopen,1
2451,8,1930,second round,2,Molesworth,HoddleWrigley,2.0,0.0,12.0,4.0,grass,ausopen,1
38,1,1930,quarterfinals,5,Daphne Akhurst,Kathleen Le Messurier,2.0,1.0,15.0,11.0,grass,ausopen,1
570,2,1930,quarterfinals,5,Emily Hood,Marjorie Cox,2.0,0.0,13.0,9.0,grass,ausopen,1
1003,3,1930,quarterfinals,5,Louie Bickerton,Gladys Toyne,2.0,0.0,13.0,9.0,grass,ausopen,1
1352,4,1930,quarterfinals,5,Sylvia Harper,Mall Molesworth,2.0,1.0,15.0,12.0,grass,ausopen,1
40,1,1930,semifinals,6,Daphne Akhurst,Emily Hood,2.0,0.0,12.0,2.0,grass,ausopen,1
572,2,1930,semifinals,6,Sylvia Harper,Louie Bickerton,2.0,0.0,14.0,9.0,grass,ausopen,1
36,1,1930,final,7,Daphne Akhurst,Sylvia Harper,2.0,1.0,19.0,19.0,grass,ausopen,1
42,1,1931,first round,1,Coral Buttsworth,Dorothy Bellamy,2.0,0.0,12.0,4.0,grass,ausopen,1
573,2,1931,first round,1,Vera Selwin,Kath Coleman,2.0,0.0,12.0,4.0,grass,ausopen,1
1005,3,1931,first round,1,Muff Wilson,Mary Derham,2.0,0.0,12.0,5.0,grass,ausopen,1
1354,4,1931,first round,1,Frances HoddleWrigley,Mall Molesworth,2.0,1.0,20.0,15.0,grass,ausopen,1
1695,5,1931,first round,1,Sylvia Harper,Ruth Tann,2.0,1.0,15.0,10.0,grass,ausopen,1
1948,6,1931,first round,1,Floris Conway,Jean Wilson,2.0,1.0,14.0,7.0,grass,ausopen,1
2200,7,1931,first round,1,Pattie Meaney,Sadie Moon,2.0,0.0,12.0,5.0,grass,ausopen,1
2452,8,1931,first round,1,Birdie Bond,Emily Hood Westacott,2.0,1.0,19.0,17.0,grass,ausopen,1
2694,9,1931,first round,1,Marjorie Crawford,Betty Ward,2.0,0.0,12.0,0.0,grass,ausopen,1
2851,10,1931,first round,1,Dorothy Dingle,Edna Gardyne,2.0,0.0,12.0,2.0,grass,ausopen,1
3165,12,1931,first round,1,Joan Hartigan,Ula Valkenburg,2.0,0.0,13.0,9.0,grass,ausopen,1
3321,13,1931,first round,1,Kathleen Le Messurier,Helen McTaggett,2.0,0.0,12.0,4.0,grass,ausopen,1
3471,14,1931,first round,1,E Darvall,Enid Williams,2.0,0.0,13.0,8.0,grass,ausopen,1
3623,15,1931,first round,1,Gwen Utz,Youtha Anthony,2.0,1.0,13.0,10.0,grass,ausopen,1
3773,16,1931,first round,1,Louie Bickerton,Nell Hall,2.0,1.0,14.0,11.0,grass,ausopen,1
44,1,1931,second round,2,Coral Buttsworth,Vera Selwin,2.0,0.0,12.0,4.0,grass,ausopen,1
575,2,1931,second round,2,Frances HoddleWrigley,Muff Wilson,2.0,1.0,19.0,16.0,grass,ausopen,1
1007,3,1931,second round,2,Sylvia Harper,Floris Conway,2.0,0.0,12.0,1.0,grass,ausopen,1
1356,4,1931,second round,2,Pattie Meaney,Birdie Bond,2.0,1.0,20.0,18.0,grass,ausopen,1
1696,5,1931,second round,2,Marjorie Crawford,Dorothy Dingle,2.0,0.0,12.0,3.0,grass,ausopen,1
1949,6,1931,second round,2,Joan Hartigan,Dorothy Weston,2.0,1.0,18.0,13.0,grass,ausopen,1
2201,7,1931,second round,2,Kathleen Le Messurier,E Darvall,2.0,0.0,12.0,1.0,grass,ausopen,1
2453,8,1931,second round,2,Louie Bickerton,Gwen Utz,2.0,0.0,13.0,9.0,grass,ausopen,1
43,1,1931,quarterfinals,5,Coral Buttsworth,Frances HoddleWrigley,2.0,0.0,12.0,3.0,grass,ausopen,1
574,2,1931,quarterfinals,5,Sylvia Harper,Pattie Meaney,2.0,0.0,12.0,3.0,grass,ausopen,1
1006,3,1931,quarterfinals,5,Marjorie Crawford,Joan Hartigan,2.0,1.0,16.0,14.0,grass,ausopen,1
1355,4,1931,quarterfinals,5,Kathleen Le Messurier,Louie Bickerton,2.0,0.0,12.0,4.0,grass,ausopen,1
45,1,1931,semifinals,6,Sylvia Harper,Coral Buttsworth,1.0,1.0,10.0,6.0,grass,ausopen,1
576,2,1931,semifinals,6,Marjorie Crawford,Kathleen Le Messurier,2.0,1.0,16.0,13.0,grass,ausopen,1
41,1,1931,final,7,Coral Buttsworth,Marjorie Crawford,2.0,1.0,13.0,13.0,grass,ausopen,1
47,1,1932,first round,1,Edna Lawrence,Roma Wadey,2.0,0.0,12.0,4.0,grass,ausopen,1
578,2,1932,second round,2,Dorothy Weston,Mollie McGrath,2.0,1.0,16.0,12.0,grass,ausopen,1
1009,3,1932,second round,2,Coral Buttsworth,Gwen Griffiths,2.0,0.0,12.0,4.0,grass,ausopen,1
1358,4,1932,second round,2,Meryl OHara Wood,Edna Lawrence,2.0,0.0,12.0,4.0,grass,ausopen,1
1697,5,1932,second round,2,Marjorie Crawford,Gwen Stevenson,2.0,0.0,12.0,3.0,grass,ausopen,1
1950,6,1932,second round,2,Kathleen Le Messurier,Dorothy Anderson,2.0,0.0,12.0,3.0,grass,ausopen,1
2202,7,1932,second round,2,Frances HoddleWrigley,Edna Collison,2.0,0.0,12.0,4.0,grass,ausopen,1
2454,8,1932,second round,2,Emily Hood Westacott,Betty Ward,2.0,1.0,16.0,10.0,grass,ausopen,1
48,1,1932,quarterfinals,5,Dorothy Weston,Jean Wilson,2.0,0.0,12.0,1.0,grass,ausopen,1
577,2,1932,quarterfinals,5,Coral Buttsworth,Meryl OHara Wood,2.0,0.0,12.0,4.0,grass,ausopen,1
1008,3,1932,quarterfinals,5,Kathleen Le Messurier,Marjorie Crawford,2.0,0.0,12.0,6.0,grass,ausopen,1
1357,4,1932,quarterfinals,5,Emily Hood Westacott,Frances HoddleWrigley,2.0,0.0,13.0,9.0,grass,ausopen,1
49,1,1932,semifinals,6,Coral Buttsworth,Dorothy Weston,2.0,0.0,12.0,2.0,grass,ausopen,1
579,2,1932,semifinals,6,Kathleen Le Messurier,Emily Hood Westacott,2.0,0.0,17.0,13.0,grass,ausopen,1
46,1,1932,final,7,Coral Buttsworth,Kathleen Le Messurier,2.0,0.0,15.0,11.0,grass,ausopen,1
51,1,1933,first round,1,Cox,Mrs Newton,2.0,0.0,12.0,7.0,grass,ausopen,1
580,2,1933,first round,1,Molesworth,Muirhead,2.0,0.0,12.0,4.0,grass,ausopen,1
1010,3,1933,first round,1,Toyne,Blick,2.0,0.0,12.0,6.0,grass,ausopen,1
1359,4,1933,first round,1,Crawford,Stevenson,2.0,1.0,17.0,16.0,grass,ausopen,1
1698,5,1933,first round,1,Bond,Van Ryn,2.0,1.0,15.0,14.0,grass,ausopen,1
1951,6,1933,first round,1,HoddleWrigley,Smith,2.0,0.0,12.0,4.0,grass,ausopen,1
2203,7,1933,first round,1,Woodward,Williams,2.0,1.0,15.0,9.0,grass,ausopen,1
2455,8,1933,first round,1,Buttsworth,Hardcastle,2.0,0.0,12.0,5.0,grass,ausopen,1
2695,9,1933,first round,1,Anthony,Carcary,2.0,0.0,12.0,6.0,grass,ausopen,1
2852,10,1933,first round,1,Hall,Chitty,2.0,0.0,12.0,6.0,grass,ausopen,1
3009,11,1933,first round,1,Derham,Weston,2.0,0.0,12.0,7.0,grass,ausopen,1
3166,12,1933,first round,1,Westacott,Glover,2.0,0.0,12.0,2.0,grass,ausopen,1
3322,13,1933,first round,1,Griffiths,McGrath,2.0,0.0,13.0,8.0,grass,ausopen,1
53,1,1933,second round,2,Hartigan,Cox,2.0,0.0,14.0,7.0,grass,ausopen,1
582,2,1933,second round,2,Molesworth,Toyne,2.0,1.0,16.0,11.0,grass,ausopen,1
1361,4,1933,second round,2,HoddleWrigley,Woodward,2.0,0.0,12.0,8.0,grass,ausopen,1
1699,5,1933,second round,2,Buttsworth,Anthony,2.0,0.0,12.0,2.0,grass,ausopen,1
1952,6,1933,second round,2,Hall,Derham,2.0,0.0,14.0,9.0,grass,ausopen,1
2204,7,1933,second round,2,Westacott,Griffiths,2.0,0.0,12.0,5.0,grass,ausopen,1
2456,8,1933,second round,2,Lewis,Bellamy,2.0,1.0,16.0,8.0,grass,ausopen,1
52,1,1933,quarterfinals,5,Joan Hartigan,Mall Molesworth,2.0,1.0,21.0,19.0,grass,ausopen,1
581,2,1933,quarterfinals,5,Frances HoddleWrigley,Birdie Bond,2.0,1.0,17.0,16.0,grass,ausopen,1
1011,3,1933,quarterfinals,5,Coral Buttsworth,Nell Hall,2.0,0.0,12.0,6.0,grass,ausopen,1
1360,4,1933,quarterfinals,5,Emily Hood Westacott,Nancy Lewis,2.0,0.0,12.0,7.0,grass,ausopen,1
54,1,1933,semifinals,6,Joan Hartigan,Frances HoddleWrigley,2.0,1.0,16.0,10.0,grass,ausopen,1
583,2,1933,semifinals,6,Coral Buttsworth,Emily Hood Westacott,2.0,1.0,18.0,16.0,grass,ausopen,1
50,1,1933,final,7,Joan Hartigan,Coral Buttsworth,2.0,0.0,12.0,7.0,grass,ausopen,1
56,1,1934,first round,1,Hartigan,Cox,2.0,0.0,14.0,6.0,grass,ausopen,1
58,1,1934,second round,2,Hartigan,Corrigan,2.0,0.0,12.0,4.0,grass,ausopen,1
57,1,1934,quarterfinals,5,Joan Hartigan,Ula Valkenburg,2.0,0.0,12.0,5.0,grass,ausopen,1
584,2,1934,quarterfinals,5,Louie Bickerton,Nancy Chitty,2.0,0.0,12.0,4.0,grass,ausopen,1
1012,3,1934,quarterfinals,5,Mall Molesworth,Nell Hall,2.0,0.0,12.0,5.0,grass,ausopen,1
1362,4,1934,quarterfinals,5,Kathrine Le Mesurier,Emily Hood Westacott,2.0,1.0,18.0,17.0,grass,ausopen,1
59,1,1934,semifinals,6,Joan Hartigan,Louie Bickerton,2.0,0.0,12.0,4.0,grass,ausopen,1
585,2,1934,semifinals,6,Mall Molesworth,Kathrine Le Mesurier,2.0,0.0,13.0,9.0,grass,ausopen,1
55,1,1934,final,7,Joan Hartigan,Mall Molesworth,2.0,0.0,12.0,5.0,grass,ausopen,1
61,1,1935,first round,1,Walters,Lewis,2.0,0.0,14.0,8.0,grass,ausopen,1
586,2,1935,first round,1,Chitty,Rees,2.0,0.0,12.0,5.0,grass,ausopen,1
1013,3,1935,first round,1,Hopman,HoddleWrigley,2.0,0.0,12.0,5.0,grass,ausopen,1
1363,4,1935,first round,1,Weston,Coyne,2.0,0.0,12.0,5.0,grass,ausopen,1
1700,5,1935,first round,1,Lyle,Stevenson,2.0,0.0,12.0,0.0,grass,ausopen,1
1953,6,1935,first round,1,Whittaker,Chittick,2.0,0.0,12.0,6.0,grass,ausopen,1
2205,7,1935,first round,1,Bickerton,A Cox,2.0,0.0,12.0,7.0,grass,ausopen,1
2457,8,1935,first round,1,Woodward,Bond,2.0,1.0,19.0,17.0,grass,ausopen,1
2696,9,1935,first round,1,Round,Stevenson,2.0,0.0,12.0,5.0,grass,ausopen,1
2853,10,1935,first round,1,Mauger,Le Mesurier,2.0,0.0,12.0,5.0,grass,ausopen,1
3010,11,1935,first round,1,Blick,Berryman,2.0,1.0,21.0,17.0,grass,ausopen,1
3167,12,1935,first round,1,Molesworth,Dickens,2.0,0.0,12.0,4.0,grass,ausopen,1
3323,13,1935,first round,1,Westacott,T Cox,2.0,0.0,12.0,1.0,grass,ausopen,1
3472,14,1935,first round,1,Bellamy,Greenwood,2.0,0.0,12.0,3.0,grass,ausopen,1
3624,15,1935,first round,1,Dearman,Harry,2.0,0.0,12.0,3.0,grass,ausopen,1
3774,16,1935,first round,1,Wynne,Malcolm,2.0,0.0,12.0,3.0,grass,ausopen,1
63,1,1935,second round,2,Walters,Chitty,2.0,0.0,13.0,9.0,grass,ausopen,1
588,2,1935,second round,2,Hopman,Weston,2.0,0.0,17.0,12.0,grass,ausopen,1
1015,3,1935,second round,2,Lyle,Whittaker,2.0,0.0,12.0,2.0,grass,ausopen,1
1365,4,1935,second round,2,Bickerton,Woodward,2.0,0.0,12.0,8.0,grass,ausopen,1
1701,5,1935,second round,2,Round,Mauger,2.0,0.0,12.0,4.0,grass,ausopen,1
