,match,year,round,round_number,winner,loser,sets_winner,sets_loser,games_winner,games_loser,surface,tourney_name,tourney_order
1,1,1922,first round,1,Mall Molesworth,A Gray,2.0,0.0,13.0,8.0,grass,ausopen,1
542,2,1922,first round,1,Marjorie Mountain,G Stevens,2.0,0.0,12.0,7.0,grass,ausopen,1
982,3,1922,first round,1,S Carr,Rock,2.0,1.0,15.0,14.0,grass,ausopen,1
1333,4,1922,first round,1,Gwen Utz,Dodemaide,2.0,0.0,12.0,6.0,grass,ausopen,1
1683,5,1922,first round,1,Esna Boyd,Floris St George,2.0,0.0,12.0,5.0,grass,ausopen,1
1938,6,1922,first round,1,J Watson,Grant,2.0,0.0,12.0,5.0,grass,ausopen,1
2191,7,1922,first round,1,Sylvia Lance,Lorna Bull,2.0,0.0,12.0,4.0,grass,ausopen,1
2,1,1922,second round,2,Mall Molesworth,Marjorie Mountain,2.0,0.0,12.0,8.0,grass,ausopen,1
983,3,1922,second round,2,Esna Boyd,J Watson,2.0,0.0,12.0,5.0,grass,ausopen,1
1334,4,1922,second round,2,Sylvia Lance,M Elliott,2.0,0.0,12.0,3.0,grass,ausopen,1
3,1,1922,semifinals,6,Mall Molesworth,Gwen Utz,2.0,0.0,12.0,5.0,grass,ausopen,1
543,2,1922,semifinals,6,Esna Boyd,Sylvia Lance,2.0,0.0,16.0,12.0,grass,ausopen,1
0,1,1922,final,7,Mall Molesworth,Esna Boyd,2.0,0.0,16.0,11.0,grass,ausopen,1
5,1,1923,first round,1,Mitchell,K Rosser,2.0,0.0,12.0,7.0,grass,ausopen,1
544,2,1923,first round,1,Haymen,H Turner,2.0,0.0,13.0,7.0,grass,ausopen,1
984,3,1923,first round,1,J Watson,Floris St George,2.0,0.0,16.0,9.0,grass,ausopen,1
1335,4,1923,first round,1,Roe,K Irving,2.0,0.0,16.0,10.0,grass,ausopen,1
1684,5,1923,first round,1,Sylvia Lance,Docker,2.0,0.0,12.0,4.0,grass,ausopen,1
6,1,1923,second round,2,Esna Boyd,Mitchell,2.0,0.0,12.0,4.0,grass,ausopen,1
545,2,1923,second round,2,Haymen,J Watson,2.0,0.0,15.0,11.0,grass,ausopen,1
985,3,1923,second round,2,Sylvia Lance,Roe,2.0,0.0,12.0,4.0,grass,ausopen,1
1336,4,1923,second round,2,Mall Molesworth,A Bell,2.0,0.0,12.0,3.0,grass,ausopen,1
7,1,1923,semifinals,6,Esna Boyd,Haymen,2.0,0.0,12.0,4.0,grass,ausopen,1
