,match,year,round,round_number,winner,loser,sets_winner,sets_loser,games_winner,games_loser,surface,tourney_name,tourney_order
1,1,1887,quarterfinals,5,Ellen Hansell,Jessie Harding,2.0,0.0,12.0,1.0,grass,usopen,4
595,2,1887,quarterfinals,5,Helen Day Harris,Louise Alderdice,2.0,0.0,12.0,8.0,grass,usopen,4
1386,4,1887,quarterfinals,5,Laura Knight,Ruth Cott,2.0,0.0,12.0,3.0,grass,usopen,4
2,1,1887,semifinals,6,Ellen Hansell,Helen Day Harris,2.0,1.0,14.0,14.0,grass,usopen,4
596,2,1887,semifinals,6,Alice Janney,Laura Knight,2.0,0.0,13.0,6.0,grass,usopen,4
0,1,1887,final,7,Ellen Hansell,Laura Knight,2.0,0.0,12.0,1.0,grass,usopen,4
597,2,1888,quarterfinals,5,Adeline Robinson,Ellen Roosevelt,2.0,1.0,15.0,13.0,grass,usopen,4
1057,3,1888,quarterfinals,5,Marion Wright,Violet Ward,2.0,0.0,12.0,5.0,grass,usopen,4
4,1,1888,semifinals,6,Bertha Townsend,Adeline Robinson,2.0,1.0,13.0,14.0,grass,usopen,4
3,1,1888,final,7,Bertha Townsend,Marion Wright,2.0,0.0,12.0,4.0,grass,usopen,4
6,1,1889,quarterfinals,5,Lida Voorhees,Laura Knight,2.0,0.0,12.0,3.0,grass,usopen,4
1058,3,1889,quarterfinals,5,DF Butterfield,Anna C Smith,2.0,0.0,12.0,4.0,grass,usopen,4
1387,4,1889,quarterfinals,5,Helen Day Harris,Rebecca H Lycett,2.0,0.0,12.0,2.0,grass,usopen,4
7,1,1889,semifinals,6,Lida Voorhees,Grace Roosevelt,2.0,1.0,16.0,12.0,grass,usopen,4
598,2,1889,semifinals,6,Helen Day Harris,DF Butterfield,2.0,0.0,12.0,4.0,grass,usopen,4
5,1,1889,final,7,Lida Voorhees,Helen Day Harris,2.0,1.0,14.0,14.0,grass,usopen,4
9,1,1890,quarterfinals,5,Ellen Roosevelt,DF Butterfield,2.0,0.0,12.0,0.0,grass,usopen,4
599,2,1890,quarterfinals,5,Mabel Cahill,Rebecca H Lycett,2.0,0.0,12.0,2.0,grass,usopen,4
1059,3,1890,quarterfinals,5,Lida Voorhees,FK Gregory,2.0,1.0,15.0,8.0,grass,usopen,4
1388,4,1890,quarterfinals,5,Margarette Ballard,S Day,2.0,0.0,12.0,3.0,grass,usopen,4
10,1,1890,semifinals,6,Ellen Roosevelt,Mabel Cahill,2.0,1.0,11.0,13.0,grass,usopen,4
600,2,1890,semifinals,6,Lida Voorhees,Margarette Ballard,2.0,1.0,15.0,15.0,grass,usopen,4
